Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542103200.0 1.0 77 112 221 NA NA NA NA NA NA 193 583 365 NA NA NA NA NA NA 1234 427 972 NA NA NA NA NA NA 1089 347 1218 NA NA NA NA NA NA
1542103200.0 10.0 NA 137 303 0 NA NA NA NA NA NA 593 478 0 NA NA NA NA NA NA 2209 3090 530 NA NA NA NA NA NA 1343 2125 623 NA NA NA NA NA
1542103200.0 1000.0 NA 313 170 0 57 NA NA NA NA NA 437 271 0 99 NA NA NA NA NA 3574 1714 853 403 NA NA NA NA NA 2637 5831 1121 1648 NA NA NA NA
1542103200.0 10001.0 NA 168 323 0 81 NA NA NA NA NA 607 547 0 128 NA NA NA NA NA 672 2047 998 288 NA NA NA NA NA 461 2286 1142 492 NA NA NA NA
1542103200.0 10002.0 NA 167 359 0 75 NA NA NA NA NA 608 547 0 127 NA NA NA NA NA 832 1822 1015 362 NA NA NA NA NA 743 1949 1250 544 NA NA NA NA
1542103200.0 10003.0 NA 175 361 0 81 NA NA NA NA NA 564 557 0 131 NA NA NA NA NA 631 2149 1007 347 NA NA NA NA NA 476 2411 1123 550 NA NA NA NA
1542103200.0 10004.0 NA 168 370 0 87 NA NA NA NA NA 563 546 0 127 NA NA NA NA NA 626 1804 1059 364 NA NA NA NA NA 695 1849 1221 723 NA NA NA NA
1542103200.0 10005.0 NA 165 372 0 85 NA NA NA NA NA 611 566 0 125 NA NA NA NA NA 865 1869 1016 245 NA NA NA NA NA 633 2015 1213 368 NA NA NA NA
1542103200.0 10006.0 NA 167 357 0 73 NA NA NA NA NA 565 550 0 129 NA NA NA NA NA 883 1827 976 382 NA NA NA NA NA 577 1852 1306 471 NA NA NA NA
1542103200.0 10007.0 NA 171 368 0 71 NA NA NA NA NA 612 574 0 134 NA NA NA NA NA 710 1994 989 313 NA NA NA NA NA 700 2623 1076 1137 NA NA NA NA
1542103200.0 10008.0 NA 180 323 0 84 NA NA NA NA NA 608 562 0 132 NA NA NA NA NA 731 2129 1007 249 NA NA NA NA NA 474 2313 1192 408 NA NA NA NA
