Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543183200.0 101.0 98 NA NA NA NA 161 NA NA NA NA 847 NA NA NA NA 1200 NA NA NA NA
1543183200.0 1010.0 NA 34 44 0 NA NA 88 101 0 NA NA 276 437 389 NA NA 590 787 774 NA
1543183200.0 102.0 96 NA NA NA NA 161 NA NA NA NA 702 NA NA NA NA 847 NA NA NA NA
1543183200.0 1020.0 NA 74 31 0 71 NA 142 70 0 145 NA 449 184 173 594 NA 852 236 376 1273
1543183200.0 1040.1 NA 67 33 0 NA NA 136 75 0 NA NA 1321 353 283 NA NA 2068 733 524 NA
1543183200.0 12024.0 73 176 379 0 NA 134 600 572 0 NA 3104 875 1868 1002 NA 1296 806 1910 1121 NA
1543183200.0 1325.5 NA 162 0 NA NA NA 277 0 NA NA NA 8673 382 NA NA NA 10267 836 NA NA
1543183200.0 1325.51 NA 157 0 NA NA NA 256 0 NA NA NA 3211 261 NA NA NA 3933 309 NA NA
1543183200.0 1325.7 NA 156 0 NA NA NA 254 0 NA NA NA 3083 106 NA NA NA 5021 201 NA NA
1543183200.0 135.8 180 NA NA NA NA 263 NA NA NA NA 439 NA NA NA NA 644 NA NA NA NA
1543183200.0 136.761 NA 99 394 0 NA NA 163 605 0 NA NA 628 16902 744 NA NA 783 6856 1080 NA
1543183200.0 136.7611 NA 186 0 NA NA NA 287 0 NA NA NA 4696 121 NA NA NA 5049 418 NA NA
1543183200.0 136.762 NA 99 399 0 NA NA 161 676 0 NA NA 565 18837 766 NA NA 722 8127 945 NA
1543183200.0 136.763 NA 99 370 0 NA NA 172 539 0 NA NA 577 15012 761 NA NA 708 6330 875 NA
1543183200.0 136.7721 NA 175 0 NA NA NA 299 0 NA NA NA 4489 119 NA NA NA 5227 277 NA NA
1543183200.0 136.7801 NA 106 0 NA NA NA 181 0 NA NA NA 1223 585 NA NA NA 2102 1139 NA NA
1543183200.0 136.7802 NA 76 0 NA NA NA 147 0 NA NA NA 747 412 NA NA NA 1651 1008 NA NA
1543183200.0 136.7803 NA 107 0 NA NA NA 184 0 NA NA NA 1616 476 NA NA NA 2909 956 NA NA
1543183200.0 136.816 NA 121 408 0 NA NA 196 663 0 NA NA 1379 43186 2786 NA NA 1735 19661 4026 NA
1543183200.0 2017.8 199 NA NA NA NA 307 NA NA NA NA 462 NA NA NA NA 773 NA NA NA NA
1543183200.0 4.22 NA 161 79 86 0 NA 274 131 142 0 NA 972 425 299 269 NA 1620 1042 431 448
1543183200.0 529.0 21 39 0 NA NA 62 93 0 NA NA 2351 435 347 NA NA 3700 954 785 NA NA
1543183200.0 530.0 21 39 0 NA NA 62 95 0 NA NA 1685 479 356 NA NA 1891 958 763 NA NA
1543183200.0 531.0 51 0 NA NA NA 196 0 NA NA NA 403 323 NA NA NA 891 729 NA NA NA
1543183200.0 534.0 47 0 NA NA NA 104 0 NA NA NA 489 342 NA NA NA 1087 780 NA NA NA
1543183200.0 535.0 43 0 NA NA NA 99 0 NA NA NA 2444 390 NA NA NA 2827 835 NA NA NA
1543183200.0 541.0 45 0 NA NA NA 100 0 NA NA NA 509 302 NA NA NA 966 694 NA NA NA
1543183200.0 545.0 43 0 NA NA NA 95 0 NA NA NA 551 317 NA NA NA 1043 854 NA NA NA
1543183200.0 552.0 19 39 0 NA NA 63 93 0 NA NA 1884 421 346 NA NA 2733 987 729 NA NA
1543183200.0 554.0 21 36 0 NA NA 63 97 0 NA NA 3427 452 395 NA NA 3897 912 863 NA NA
1543183200.0 556.0 20 44 0 NA NA 62 95 0 NA NA 689 498 328 NA NA 1354 1019 787 NA NA
1543183200.0 560.0 38 0 NA NA NA 87 0 NA NA NA 393 344 NA NA NA 752 769 NA NA NA
1543183200.0 561.0 40 0 NA NA NA 88 0 NA NA NA 438 318 NA NA NA 874 779 NA NA NA
1543183200.0 562.0 21 38 0 NA NA 63 95 0 NA NA 501 472 323 NA NA 1205 946 768 NA NA
