Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543100400.0 101.0 91 NA NA NA NA NA 161 NA NA NA NA NA 914 NA NA NA NA NA 1773 NA NA NA NA NA
1543100400.0 1010.0 NA 29 41 0 NA NA NA 88 99 0 NA NA NA 130 232 138 NA NA NA 508 547 264 NA NA
1543100400.0 102.0 94 NA NA NA NA NA 161 NA NA NA NA NA 814 NA NA NA NA NA 1305 NA NA NA NA NA
1543100400.0 1020.0 NA 77 31 0 71 NA NA 146 71 0 142 NA NA 257 124 71 286 NA NA 835 428 173 572 NA
1543100400.0 1030.0 NA 186 59 0 0 NA NA 381 104 0 0 NA NA 7917 266 69 66 NA NA 3270 271 249 259 NA
1543100400.0 1040.1 NA 73 31 0 NA NA NA 131 74 0 NA NA NA 438 146 173 NA NA NA 573 356 559 NA NA
1543100400.0 106.0 50 0 0 NA NA NA 105 0 0 NA NA NA 960 291 1128 NA NA NA 945 322 2154 NA NA NA
1543100400.0 10823.0 NA 285 383 0 99 127 NA 683 573 0 138 192 NA 1705 1605 1711 425 548 NA 1696 1870 1950 437 709
1543100400.0 12024.0 75 174 370 0 NA NA 132 597 551 0 NA NA 3261 778 1619 919 NA NA 1759 1117 1930 1032 NA NA
1543100400.0 122.0 46 0 0 NA NA NA 104 0 0 NA NA NA 907 286 1255 NA NA NA 1357 354 2007 NA NA NA
1543100400.0 1325.5 NA 176 0 NA NA NA NA 279 0 NA NA NA NA 4841 159 NA NA NA NA 5739 434 NA NA NA
1543100400.0 1325.51 NA 167 0 NA NA NA NA 255 0 NA NA NA NA 1608 149 NA NA NA NA 2166 223 NA NA NA
1543100400.0 1325.7 NA 154 0 NA NA NA NA 270 0 NA NA NA NA 3670 178 NA NA NA NA 5753 278 NA NA NA
1543100400.0 135.8 188 NA NA NA NA NA 266 NA NA NA NA NA 390 NA NA NA NA NA 806 NA NA NA NA NA
1543100400.0 136.756 NA 102 340 0 NA NA NA 166 514 0 NA NA NA 713 11914 1005 NA NA NA 655 6299 1162 NA NA
1543100400.0 136.7611 NA 181 0 NA NA NA NA 290 0 NA NA NA NA 7343 223 NA NA NA NA 8825 748 NA NA NA
