Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542189600.0 1.0 63 77 154 NA NA NA NA NA 114 136 234 NA NA NA NA NA 1720 429 930 NA NA NA NA NA 2197 556 1225 NA NA NA NA NA
1542189600.0 10.0 NA 103 234 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 2382 3145 574 NA NA NA NA NA 2802 3494 754 NA NA NA NA
1542189600.0 1000.0 NA 231 151 0 43 NA NA NA NA 319 245 0 84 NA NA NA NA 2485 1175 660 273 NA NA NA NA 2818 1599 784 753 NA NA NA
1542189600.0 10001.0 NA 152 304 81 0 NA NA NA NA 239 408 115 0 NA NA NA NA 2232 3273 768 3579 NA NA NA NA 2941 3644 933 4276 NA NA NA
1542189600.0 10002.0 NA 154 304 73 0 NA NA NA NA 239 408 115 0 NA NA NA NA 2242 3322 718 3676 NA NA NA NA 2863 3779 840 4389 NA NA NA
1542189600.0 10003.0 NA 156 307 80 0 NA NA NA NA 241 408 115 0 NA NA NA NA 2275 3228 706 3624 NA NA NA NA 2909 3508 1372 4333 NA NA NA
1542189600.0 10004.0 NA 154 305 73 0 NA NA NA NA 238 408 115 0 NA NA NA NA 2147 3272 731 3639 NA NA NA NA 2657 3722 912 4360 NA NA NA
1542189600.0 10005.0 NA 173 305 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 2078 3176 698 3659 NA NA NA NA 2454 3509 822 4310 NA NA NA
1542189600.0 10006.0 NA 152 303 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 2229 3074 770 3517 NA NA NA NA 2906 3475 899 4001 NA NA NA
1542189600.0 10007.0 NA 154 304 84 0 NA NA NA NA 239 408 128 0 NA NA NA NA 2248 3269 755 3765 NA NA NA NA 2968 3647 865 4460 NA NA NA
1542189600.0 10008.0 NA 155 307 83 0 NA NA NA NA 239 408 127 0 NA NA NA NA 2237 3262 823 3718 NA NA NA NA 2748 3550 943 4217 NA NA NA
1542189600.0 10009.0 NA 152 299 82 0 NA NA NA NA 240 408 127 0 NA NA NA NA 2354 3277 801 3685 NA NA NA NA 3061 3589 970 4247 NA NA NA
