Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1541757600.0 1.0 62 70 155 NA NA NA NA NA 114 136 233 NA NA NA NA NA 1456 388 877 NA NA NA NA NA 2180 580 1200 NA NA NA NA NA
1541757600.0 10.0 NA 103 231 0 NA NA NA NA NA 155 315 0 NA NA NA NA NA 1975 2580 462 NA NA NA NA NA 2193 2842 702 NA NA NA NA
1541757600.0 1000.0 NA 231 151 0 46 NA NA NA NA 319 245 0 84 NA NA NA NA 4658 1956 1305 455 NA NA NA NA 6599 2743 1557 626 NA NA NA
1541757600.0 10001.0 NA 156 300 72 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1738 2327 418 2137 NA NA NA NA 5508 2825 591 2394 NA NA NA
1541757600.0 10002.0 NA 159 314 83 0 NA NA NA NA 239 408 115 0 NA NA NA NA 1598 2142 433 2150 NA NA NA NA 3140 2494 584 2451 NA NA NA
1541757600.0 10003.0 NA 157 307 83 0 NA NA NA NA 241 408 115 0 NA NA NA NA 1600 2066 416 2174 NA NA NA NA 3125 2322 638 2538 NA NA NA
1541757600.0 10004.0 NA 153 305 82 0 NA NA NA NA 238 408 115 0 NA NA NA NA 1645 2131 396 2023 NA NA NA NA 5041 2397 654 2304 NA NA NA
1541757600.0 10005.0 NA 172 307 80 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1663 1964 405 2106 NA NA NA NA 2141 2257 643 2444 NA NA NA
1541757600.0 10006.0 NA 169 305 73 0 NA NA NA NA 238 408 114 0 NA NA NA NA 1745 2176 405 2161 NA NA NA NA 6149 2413 563 2333 NA NA NA
1541757600.0 10007.0 NA 156 301 84 0 NA NA NA NA 239 408 128 0 NA NA NA NA 1673 2629 428 2101 NA NA NA NA 6218 3334 620 2452 NA NA NA
