Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542495600.0 10224.0 NA 246 402 0 NA NA NA NA NA 339 521 0 NA NA NA NA NA 4924 4839 1948 NA NA NA NA NA 5749 5511 2037 NA NA NA NA
1542495600.0 10225.0 NA 250 409 0 NA NA NA NA NA 340 528 0 NA NA NA NA NA 5053 5163 2467 NA NA NA NA NA 6064 5767 2618 NA NA NA NA
1542495600.0 103.0 43 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 461 170 1370 NA NA NA NA NA 607 268 1700 NA NA NA NA NA
1542495600.0 1030.0 NA 140 42 0 NA NA NA NA NA 238 80 0 NA NA NA NA NA 8457 234 63 NA NA NA NA NA 9164 438 344 NA NA NA NA
1542495600.0 10424.0 NA 176 313 0 NA NA NA NA NA 255 410 0 NA NA NA NA NA 1854 2369 2381 NA NA NA NA NA 2595 2709 2549 NA NA NA NA
1542495600.0 105.0 65 74 27 NA NA NA NA NA 114 136 62 NA NA NA NA NA 1710 492 136 NA NA NA NA NA 1904 677 237 NA NA NA NA NA
1542495600.0 106.0 43 0 0 NA NA NA NA NA 86 0 0 NA NA NA NA NA 467 184 1291 NA NA NA NA NA 622 299 1549 NA NA NA NA NA
1542495600.0 107.0 61 76 229 NA NA NA NA NA 115 136 296 NA NA NA NA NA 3358 502 1528 NA NA NA NA NA 4116 690 1767 NA NA NA NA NA
1542495600.0 108.0 61 75 223 NA NA NA NA NA 117 136 298 NA NA NA NA NA 5625 568 1670 NA NA NA NA NA 6393 798 1919 NA NA NA NA NA
1542495600.0 10823.0 53 171 298 79 0 NA NA NA 99 228 408 114 0 NA NA NA 1106 1588 2407 425 2537 NA NA NA 1430 1955 3296 627 2707 NA NA NA
