Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543442400.0 2017.2 340 0 133 NA NA NA NA 726 0 221 NA NA NA NA 1179 252 584 NA NA NA NA 1483 376 2001 NA NA NA NA
1543442400.0 2017.8 211 NA NA NA NA NA NA 317 NA NA NA NA NA NA 492 NA NA NA NA NA NA 1326 NA NA NA NA NA NA
1543442400.0 22.0 NA 126 294 0 NA NA NA NA 547 462 0 NA NA NA NA 1664 2156 490 NA NA NA NA 701 2101 752 NA NA NA
1543442400.0 29.0 NA 139 329 0 NA NA NA NA 548 462 0 NA NA NA NA 2061 2348 502 NA NA NA NA 1032 2433 738 NA NA NA
1543442400.0 31.0 NA 151 302 0 NA NA NA NA 602 451 0 NA NA NA NA 2092 2310 509 NA NA NA NA 1056 2203 653 NA NA NA
1543442400.0 35.0 NA 137 315 0 NA NA NA NA 591 457 0 NA NA NA NA 2309 2548 522 NA NA NA NA 1243 2575 772 NA NA NA
1543442400.0 36.0 NA 134 322 0 NA NA NA NA 592 456 0 NA NA NA NA 2232 7869 525 NA NA NA NA 945 3625 659 NA NA NA
1543442400.0 4.22 NA 161 82 68 0 NA NA NA 273 128 148 0 NA NA NA 1369 308 678 435 NA NA NA 2167 582 954 1006 NA NA
1543442400.0 50202.0 NA 208 449 0 NA NA NA NA 571 615 0 NA NA NA NA 1499 2755 503 NA NA NA NA 1190 2752 690 NA NA NA
1543442400.0 50205.0 NA 207 428 0 NA NA NA NA 616 579 0 NA NA NA NA 1499 2435 508 NA NA NA NA 982 2541 722 NA NA NA
1543442400.0 50206.0 NA 208 438 0 NA NA NA NA 574 635 0 NA NA NA NA 1387 2445 529 NA NA NA NA 1339 2519 804 NA NA NA
1543442400.0 529.0 22 49 0 NA NA NA NA 67 92 0 NA NA NA NA 1859 149 125 NA NA NA NA 3091 199 184 NA NA NA NA
1543442400.0 530.0 20 41 0 NA NA NA NA 63 93 0 NA NA NA NA 948 173 124 NA NA NA NA 1773 304 205 NA NA NA NA
1543442400.0 531.0 74 0 NA NA NA NA NA 196 0 NA NA NA NA NA 172 119 NA NA NA NA NA 244 181 NA NA NA NA NA
1543442400.0 534.0 49 0 NA NA NA NA NA 104 0 NA NA NA NA NA 246 128 NA NA NA NA NA 1924 257 NA NA NA NA NA
1543442400.0 535.0 45 0 NA NA NA NA NA 98 0 NA NA NA NA NA 725 129 NA NA NA NA NA 3230 196 NA NA NA NA NA
1543442400.0 541.0 47 0 NA NA NA NA NA 98 0 NA NA NA NA NA 380 118 NA NA NA NA NA 696 195 NA NA NA NA NA
1543442400.0 545.0 57 0 NA NA NA NA NA 96 0 NA NA NA NA NA 281 123 NA NA NA NA NA 414 194 NA NA NA NA NA
1543442400.0 551.0 30 40 0 NA NA NA NA 63 93 0 NA NA NA NA 699 193 123 NA NA NA NA 727 1716 181 NA NA NA NA
1543442400.0 552.0 21 50 0 NA NA NA NA 63 94 0 NA NA NA NA 917 167 124 NA NA NA NA 1136 228 193 NA NA NA NA
1543442400.0 554.0 22 50 0 NA NA NA NA 63 93 0 NA NA NA NA 1594 158 120 NA NA NA NA 1810 203 179 NA NA NA NA
1543442400.0 556.0 20 50 0 NA NA NA NA 67 93 0 NA NA NA NA 362 156 154 NA NA NA NA 2266 202 1632 NA NA NA NA
1543442400.0 560.0 48 0 NA NA NA NA NA 88 0 NA NA NA NA NA 165 127 NA NA NA NA NA 194 260 NA NA NA NA NA
1543442400.0 561.0 48 0 NA NA NA NA NA 86 0 NA NA NA NA NA 158 116 NA NA NA NA NA 196 222 NA NA NA NA NA
1543442400.0 562.0 27 50 0 NA NA NA NA 67 94 0 NA NA NA NA 338 161 123 NA NA NA NA 977 218 207 NA NA NA NA
1543442400.0 6.0 NA 109 268 0 NA NA NA NA 558 422 0 NA NA NA NA 2565 2578 792 NA NA NA NA 2111 3312 1243 NA NA NA
1543442400.0 8.0 NA 117 162 52 0 NA NA NA 589 257 99 0 NA NA NA 2355 950 219 392 NA NA NA 1658 1112 632 830 NA NA
