Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543100400.0 10002.0 NA 170 369 0 76 NA 607 583 0 131 NA 605 1624 947 347 NA 899 2812 1021 477
1543100400.0 10424.0 NA 175 367 0 NA NA 609 571 0 NA NA 707 1950 1074 NA NA 677 2600 1397 NA
1543100400.0 10824.5 NA 280 164 0 NA NA 644 246 0 NA NA 2042 608 136 NA NA 2346 1142 232 NA
1543100400.0 1325.7 NA 171 0 NA NA NA 266 0 NA NA NA 3990 228 NA NA NA 4630 684 NA NA
1543100400.0 1325.8 NA 168 0 NA NA NA 263 0 NA NA NA 3415 293 NA NA NA 3039 580 NA NA
1543100400.0 1339.0 NA 150 357 0 NA NA 563 489 0 NA NA 1211 3481 1180 NA NA 887 5024 1706 NA
1543100400.0 135.8 159 NA NA NA NA 257 NA NA NA NA 501 NA NA NA NA 664 NA NA NA NA
1543100400.0 136.752 NA 99 353 0 NA NA 156 539 0 NA NA 818 19491 971 NA NA 1640 8897 1027 NA
1543100400.0 136.761 NA 96 379 0 NA NA 158 606 0 NA NA 910 31198 1549 NA NA 1660 14477 2470 NA
1543100400.0 136.7611 NA 176 0 NA NA NA 301 0 NA NA NA 7005 295 NA NA NA 7526 611 NA NA
1543100400.0 136.763 NA 99 366 0 NA NA 156 575 0 NA NA 840 27510 1139 NA NA 1640 13866 1234 NA
1543100400.0 136.764 NA 98 363 0 NA NA 155 580 0 NA NA 870 26796 1247 NA NA 1659 14082 1455 NA
1543100400.0 136.7721 NA 171 0 NA NA NA 280 0 NA NA NA 6575 294 NA NA NA 7351 611 NA NA
1543100400.0 2017.8 188 NA NA NA NA 315 NA NA NA NA 1051 NA NA NA NA 1576 NA NA NA NA
1543100400.0 4.22 NA 173 69 76 0 NA 278 127 149 0 NA 974 472 275 249 NA 951 787 692 434
1543100400.0 4.28 NA 80 299 0 NA NA 139 448 0 NA NA 329 2532 2459 NA NA 735 3836 2839 NA
1543100400.0 5.3 249 0 NA NA NA 686 0 NA NA NA 1091 249 NA NA NA 1074 431 NA NA NA
1543100400.0 6.0 NA 113 266 0 NA NA 592 416 0 NA NA 1723 1665 566 NA NA 1001 2165 714 NA
