Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543226400.0 101.0 100 NA NA NA 161 NA NA NA 810 NA NA NA 1285 NA NA NA
1543226400.0 102.0 90 NA NA NA 161 NA NA NA 738 NA NA NA 1172 NA NA NA
1543226400.0 1301.17 73 149 200 NA 143 553 399 NA 1819 867 1940 NA 1891 2025 3764 NA
1543226400.0 1325.5 NA 172 0 NA NA 264 0 NA NA 5082 147 NA NA 6208 350 NA
1543226400.0 1325.51 NA 158 0 NA NA 250 0 NA NA 1869 150 NA NA 2614 303 NA
1543226400.0 1325.7 NA 177 0 NA NA 272 0 NA NA 4152 146 NA NA 6424 441 NA
1543226400.0 135.8 164 NA NA NA 265 NA NA NA 502 NA NA NA 966 NA NA NA
1543226400.0 136.739 NA 94 379 0 NA 159 589 0 NA 599 14419 837 NA 722 8260 1131
1543226400.0 136.7611 NA 178 0 NA NA 271 0 NA NA 5621 143 NA NA 6101 347 NA
1543226400.0 136.762 NA 94 405 0 NA 160 634 0 NA 627 21868 825 NA 770 8865 993
1543226400.0 136.764 NA 92 367 0 NA 151 568 0 NA 761 20975 1256 NA 939 10963 1900
1543226400.0 136.7721 NA 170 0 NA NA 280 0 NA NA 6749 184 NA NA 9253 551 NA
1543226400.0 136.7801 NA 117 0 NA NA 172 0 NA NA 554 337 NA NA 1479 756 NA
1543226400.0 136.7802 NA 82 0 NA NA 146 0 NA NA 384 223 NA NA 1057 666 NA
1543226400.0 136.7803 NA 114 0 NA NA 194 0 NA NA 850 279 NA NA 1235 630 NA
1543226400.0 2.0 111 105 194 NA 216 582 325 NA 5594 723 2417 NA 3113 450 2681 NA
1543226400.0 2017.8 150 NA NA NA 266 NA NA NA 502 NA NA NA 501 NA NA NA
1543226400.0 250200.17 NA 383 450 0 NA 695 688 0 NA 15040 6193 2167 NA 6374 4375 2486
1543226400.0 250207.18 NA 520 530 0 NA 939 773 0 NA 26256 7506 3226 NA 10754 4793 3537
1543226400.0 250208.18 NA 578 551 0 NA 1129 773 0 NA 32180 10271 3475 NA 11969 5488 3927
1543226400.0 250403.0 370 0 128 NA 665 0 216 NA 1824 373 1697 NA 1652 458 1835 NA
1543226400.0 3.0 85 95 195 NA 187 540 298 NA 9240 933 2649 NA 5735 731 2332 NA
1543226400.0 4.28 NA 82 303 0 NA 140 424 0 NA 487 4696 3545 NA 652 5696 3778
1543226400.0 4.43 NA 40 306 0 NA 100 459 0 NA 381 6035 1216 NA 460 4115 1531
1543226400.0 4.58 NA 49 320 0 NA 119 457 0 NA 394 7462 1238 NA 449 5893 1455
1543226400.0 4.73 NA 50 326 0 NA 101 484 0 NA 259 11096 1252 NA 285 5556 1595
1543226400.0 5.3 226 0 NA NA 685 0 NA NA 1942 462 NA NA 1731 898 NA NA
1543226400.0 500200.1 93 192 227 NA 171 528 340 NA 3542 1644 3551 NA 2342 1104 3046 NA
1543226400.0 529.0 21 46 0 NA 67 92 0 NA 2729 218 179 NA 11294 495 414 NA
1543226400.0 530.0 20 45 0 NA 68 94 0 NA 1268 229 174 NA 2480 847 519 NA
1543226400.0 531.0 56 0 NA NA 195 0 NA NA 240 172 NA NA 483 508 NA NA
1543226400.0 541.0 50 0 NA NA 99 0 NA NA 245 198 NA NA 561 631 NA NA
1543226400.0 545.0 54 0 NA NA 95 0 NA NA 333 181 NA NA 596 1150 NA NA
1543226400.0 552.0 19 39 0 NA 64 94 0 NA 1295 253 173 NA 2338 854 541 NA
1543226400.0 554.0 21 43 0 NA 64 94 0 NA 2174 256 178 NA 3491 390 604 NA
1543226400.0 556.0 21 41 0 NA 67 93 0 NA 475 246 171 NA 1357 880 488 NA
1543226400.0 560.0 43 0 NA NA 86 0 NA NA 238 193 NA NA 489 1518 NA NA
1543226400.0 561.0 44 0 NA NA 86 0 NA NA 234 166 NA NA 514 520 NA NA
