Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543183200.0 10871.0 NA 278 400 0 86 159 NA 535 590 0 139 243 NA 2043 2495 2067 419 978 NA 1844 2712 2301 521 1218
1543183200.0 11224.0 NA 265 400 0 NA NA NA 632 629 0 NA NA NA 2597 4002 3509 NA NA NA 3175 6710 4902 NA NA
1543183200.0 11224.6 NA 266 404 0 NA NA NA 580 591 0 NA NA NA 2614 4000 3482 NA NA NA 3208 5854 4893 NA NA
1543183200.0 116.0 112 106 288 NA NA NA 216 537 410 NA NA NA 4510 810 2936 NA NA NA 2267 1023 4998 NA NA NA
1543183200.0 122.0 50 0 0 NA NA NA 104 0 0 NA NA NA 850 193 1565 NA NA NA 778 213 1911 NA NA NA
1543183200.0 123.1 305 NA NA NA NA NA 694 NA NA NA NA NA 1192 NA NA NA NA NA 1204 NA NA NA NA NA
1543183200.0 123.3 234 NA NA NA NA NA 643 NA NA NA NA NA 1024 NA NA NA NA NA 1461 NA NA NA NA NA
1543183200.0 124.6 237 NA NA NA NA NA 686 NA NA NA NA NA 969 NA NA NA NA NA 940 NA NA NA NA NA
1543183200.0 125.0 102 105 289 NA NA NA 213 584 404 NA NA NA 1882 571 1820 NA NA NA 1151 558 1917 NA NA NA
1543183200.0 126.0 72 99 280 NA NA NA 136 583 426 NA NA NA 1452 525 1718 NA NA NA 1127 472 1820 NA NA NA
1543183200.0 127.0 65 100 284 NA NA NA 136 581 417 NA NA NA 1285 555 1735 NA NA NA 1084 498 2498 NA NA NA
1543183200.0 128.0 62 102 264 NA NA NA 131 582 412 NA NA NA 888 483 1739 NA NA NA 854 452 2340 NA NA NA
1543183200.0 129.0 68 109 263 NA NA NA 134 583 397 NA NA NA 778 458 1731 NA NA NA 704 416 2176 NA NA NA
1543183200.0 130.0 70 103 284 NA NA NA 144 583 405 NA NA NA 998 541 1705 NA NA NA 918 428 1918 NA NA NA
1543183200.0 1302.0 98 134 205 NA NA NA 186 590 366 NA NA NA 3395 684 1825 NA NA NA 1601 470 1805 NA NA NA
1543183200.0 1303.0 92 139 239 NA NA NA 178 589 341 NA NA NA 6209 530 2136 NA NA NA 2547 431 1784 NA NA NA
1543183200.0 1303.17 85 163 226 NA NA NA 162 588 411 NA NA NA 6635 883 2276 NA NA NA 3951 618 1993 NA NA NA
1543183200.0 1307.0 NA 132 179 49 0 NA NA 553 299 97 0 NA NA 491 786 263 539 NA NA 568 1259 1540 1237 NA
1543183200.0 131.0 71 105 291 NA NA NA 142 581 428 NA NA NA 1642 536 1761 NA NA NA 1210 477 2557 NA NA NA
