Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543399200.0 101.0 93 NA NA NA 161 NA NA NA 791 NA NA NA 2049 NA NA NA
1543399200.0 102.0 97 NA NA NA 161 NA NA NA 727 NA NA NA 1015 NA NA NA
1543399200.0 106.0 50 0 0 NA 107 0 0 NA 878 266 1458 NA 987 427 3332 NA
1543399200.0 1325.5 NA 167 0 NA NA 266 0 NA NA 6728 284 NA NA 8432 577 NA
1543399200.0 1325.51 NA 154 0 NA NA 240 0 NA NA 2748 254 NA NA 2935 530 NA
1543399200.0 1325.7 NA 173 0 NA NA 276 0 NA NA 4740 276 NA NA 5194 825 NA
1543399200.0 135.8 182 NA NA NA 266 NA NA NA 603 NA NA NA 536 NA NA NA
1543399200.0 136.739 NA 92 378 0 NA 157 591 0 NA 836 23412 1111 NA 1562 12320 1168
1543399200.0 136.746 NA 91 351 0 NA 164 518 0 NA 1036 19174 1233 NA 1577 10375 1656
1543399200.0 136.753 NA 92 353 0 NA 153 547 0 NA 812 19897 1264 NA 1473 11104 1327
1543399200.0 136.759 NA 92 382 0 NA 153 605 0 NA 815 25775 1250 NA 1562 12764 1316
1543399200.0 136.76 NA 93 372 0 NA 173 563 0 NA 967 27915 1233 NA 1577 13304 1298
1543399200.0 136.7611 NA 175 0 NA NA 288 0 NA NA 7600 284 NA NA 8905 591 NA
1543399200.0 136.762 NA 94 401 0 NA 161 650 0 NA 913 34725 1501 NA 1562 15111 1953
1543399200.0 136.764 NA 94 365 0 NA 156 570 0 NA 622 17213 1051 NA 868 8531 2063
1543399200.0 136.7721 NA 170 0 NA NA 276 0 NA NA 5205 168 NA NA 6180 764 NA
1543399200.0 2017.8 183 NA NA NA 263 NA NA NA 403 NA NA NA 458 NA NA NA
