Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1541930400.0 1.0 82 112 217 NA NA NA NA NA NA 195 538 345 NA NA NA NA NA NA 1967 514 1521 NA NA NA NA NA NA 1525 454 2729 NA NA NA NA NA NA
1541930400.0 10.0 NA 132 304 0 NA NA NA NA NA NA 590 435 0 NA NA NA NA NA NA 2177 3349 558 NA NA NA NA NA NA 1301 2364 647 NA NA NA NA NA
1541930400.0 1000.0 NA 282 206 0 63 NA NA NA NA NA 417 278 0 100 NA NA NA NA NA 3490 1098 735 287 NA NA NA NA NA 4137 894 799 342 NA NA NA NA
1541930400.0 10001.0 NA 175 368 0 87 NA NA NA NA NA 606 549 0 134 NA NA NA NA NA 567 1793 1094 301 NA NA NA NA NA 372 1779 15425 345 NA NA NA NA
1541930400.0 10002.0 NA 175 368 0 87 NA NA NA NA NA 563 540 0 128 NA NA NA NA NA 707 1826 1104 299 NA NA NA NA NA 451 1827 24876 306 NA NA NA NA
1541930400.0 10003.0 NA 181 375 0 86 NA NA NA NA NA 607 571 0 123 NA NA NA NA NA 596 1844 1149 232 NA NA NA NA NA 414 1804 7159 533 NA NA NA NA
1541930400.0 10004.0 NA 160 379 0 84 NA NA NA NA NA 559 563 0 127 NA NA NA NA NA 714 1733 1103 226 NA NA NA NA NA 529 1766 4983 976 NA NA NA NA
1541930400.0 10005.0 NA 168 383 0 77 NA NA NA NA NA 608 555 0 134 NA NA NA NA NA 578 1700 1105 234 NA NA NA NA NA 405 1707 1181 4883 NA NA NA NA
1541930400.0 10006.0 NA 176 363 0 87 NA NA NA NA NA 608 501 0 127 NA NA NA NA NA 573 1790 1118 299 NA NA NA NA NA 380 2005 20131 384 NA NA NA NA
1541930400.0 10007.0 NA 172 366 0 85 NA NA NA NA NA 610 530 0 127 NA NA NA NA NA 758 1816 1124 305 NA NA NA NA NA 489 1857 2344 19974 NA NA NA NA
1541930400.0 10008.0 NA 180 365 0 87 NA NA NA NA NA 607 519 0 128 NA NA NA NA NA 595 1866 1108 227 NA NA NA NA NA 394 7427 41574 340 NA NA NA NA
1541930400.0 10009.0 NA 177 375 0 81 NA NA NA NA NA 608 552 0 129 NA NA NA NA NA 590 1850 1118 234 NA NA NA NA NA 397 2155 3857 911 NA NA NA NA
1541930400.0 1001.0 NA 263 126 0 0 0 0 0 0 NA 379 185 0 0 0 0 0 0 NA 3410 971 110 86 122 263 126 252 NA 2386 807 297 165 199 305 173 296
1541930400.0 1001.2 NA 389 0 NA NA NA NA NA NA NA 584 0 NA NA NA NA NA NA NA 19961 0 NA NA NA NA NA NA NA 7576 0 NA NA NA NA NA NA
1541930400.0 1002.0 NA 298 82 NA NA NA NA NA NA NA 436 136 NA NA NA NA NA NA NA 4570 479 NA NA NA NA NA NA NA 4688 466 NA NA NA NA NA NA
1541930400.0 10023.0 NA 165 363 0 83 NA NA NA NA NA 607 563 0 134 NA NA NA NA NA 583 1772 1111 348 NA NA NA NA NA 411 1763 2263 569 NA NA NA NA
1541930400.0 10024.0 NA 178 393 0 87 NA NA NA NA NA 564 556 0 131 NA NA NA NA NA 682 2091 1128 244 NA NA NA NA NA 443 1876 1307 356 NA NA NA NA
1541930400.0 10024.1 NA 182 200 0 NA NA NA NA NA NA 608 337 0 NA NA NA NA NA NA 726 788 371 NA NA NA NA NA NA 715 911 772 NA NA NA NA NA
1541930400.0 10024.2 NA 179 382 0 NA NA NA NA NA NA 608 567 0 NA NA NA NA NA NA 861 2213 1230 NA NA NA NA NA NA 752 2667 1792 NA NA NA NA NA
1541930400.0 10024.3 NA 168 196 0 NA NA NA NA NA NA 563 328 0 NA NA NA NA NA NA 842 720 331 NA NA NA NA NA NA 972 936 613 NA NA NA NA NA
1541930400.0 10024.4 NA 175 366 0 NA NA NA NA NA NA 561 552 0 NA NA NA NA NA NA 782 2271 1200 NA NA NA NA NA NA 757 2483 1353 NA NA NA NA NA
1541930400.0 10024.5 NA 176 142 0 NA NA NA NA NA NA 608 237 0 NA NA NA NA NA NA 678 511 147 NA NA NA NA NA NA 446 1249 273 NA NA NA NA NA
1541930400.0 10025.0 NA 180 372 0 87 NA NA NA NA NA 608 545 0 136 NA NA NA NA NA 722 1928 1128 229 NA NA NA NA NA 421 4047 57143 299 NA NA NA NA
1541930400.0 10026.0 NA 192 395 0 88 NA NA NA NA NA 608 581 0 131 NA NA NA NA NA 691 2312 1154 290 NA NA NA NA NA 424 1886 7062 1221 NA NA NA NA
1541930400.0 1003.0 NA 262 0 NA NA NA NA NA NA NA 373 0 NA NA NA NA NA NA NA 4535 883 NA NA NA NA NA NA NA 4182 1458 NA NA NA NA NA NA
1541930400.0 1004.0 NA 235 104 0 0 0 0 NA NA NA 332 164 0 0 0 0 NA NA NA 972 487 74 115 252 256 NA NA NA 1000 828 145 148 301 294 NA NA
1541930400.0 10042.0 NA 182 377 0 89 NA NA NA NA NA 562 547 0 129 NA NA NA NA NA 737 1909 1118 230 NA NA NA NA NA 500 1820 6709 404 NA NA NA NA
1541930400.0 10059.0 NA 190 395 0 89 NA NA NA NA NA 563 576 0 129 NA NA NA NA NA 907 2468 1136 250 NA NA NA NA NA 513 2169 3878 5232 NA NA NA NA
1541930400.0 10071.0 NA 184 393 0 85 NA NA NA NA NA 609 563 0 128 NA NA NA NA NA 647 1924 1126 237 NA NA NA NA NA 404 2000 8438 326 NA NA NA NA
1541930400.0 101.0 93 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 793 NA NA NA NA NA NA NA NA 1199 NA NA NA NA NA NA NA NA
1541930400.0 1010.0 NA 38 49 0 NA NA NA NA NA NA 88 100 0 NA NA NA NA NA NA 162 340 209 NA NA NA NA NA NA 428 991 457 NA NA NA NA NA
1541930400.0 102.0 94 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA NA 1383 NA NA NA NA NA NA NA NA
1541930400.0 1020.0 NA 81 34 0 79 NA NA NA NA NA 147 72 0 149 NA NA NA NA NA 244 108 69 235 NA NA NA NA NA 414 165 115 308 NA NA NA NA
1541930400.0 10224.0 NA 316 599 0 NA NA NA NA NA NA 623 885 0 NA NA NA NA NA NA 3104 4621 1207 NA NA NA NA NA NA 3789 3983 1489 NA NA NA NA NA
