Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543442400.0 1336.0 NA 143 346 0 NA NA NA 608 497 0 NA NA NA 688 3459 1012 NA NA NA 719 3698 1323 NA NA
1543442400.0 1337.0 NA 147 368 0 NA NA NA 561 525 0 NA NA NA 703 3458 1043 NA NA NA 595 4047 1190 NA NA
1543442400.0 1339.0 NA 148 371 0 NA NA NA 608 482 0 NA NA NA 672 3306 1019 NA NA NA 1315 3805 1206 NA NA
1543442400.0 134.813 NA 174 63 0 NA NA NA 281 126 0 NA NA NA 1925 705 455 NA NA NA 1742 847 743 NA NA
1543442400.0 1343.0 NA 142 354 0 NA NA NA 610 515 0 NA NA NA 682 3081 1021 NA NA NA 1448 3210 1116 NA NA
1543442400.0 135.8 176 NA NA NA NA NA 273 NA NA NA NA NA 931 NA NA NA NA NA 1095 NA NA NA NA NA
1543442400.0 135.9 322 0 132 NA NA NA 696 0 231 NA NA NA 2013 439 1732 NA NA NA 2129 878 2614 NA NA NA
1543442400.0 1351.0 NA 135 353 0 NA NA NA 608 487 0 NA NA NA 667 2961 1025 NA NA NA 1293 3172 1099 NA NA
1543442400.0 1353.0 NA 143 342 0 NA NA NA 610 493 0 NA NA NA 647 3113 1001 NA NA NA 992 4229 1103 NA NA
1543442400.0 1354.0 NA 143 356 0 NA NA NA 611 521 0 NA NA NA 610 2989 1006 NA NA NA 1029 4360 1392 NA NA
1543442400.0 1356.0 86 129 342 0 143 NA 172 514 539 0 233 NA 1758 644 2955 993 1683 NA 1489 1490 3433 1962 2012 NA
1543442400.0 136.733 NA 171 68 0 NA NA NA 308 135 0 NA NA NA 2023 754 390 NA NA NA 3236 1134 632 NA NA
1543442400.0 136.752 NA 95 366 0 NA NA NA 164 558 0 NA NA NA 712 13310 1014 NA NA NA 652 6165 1323 NA NA
1543442400.0 136.755 NA 91 438 0 NA NA NA 167 682 0 NA NA NA 680 14606 994 NA NA NA 568 6685 1101 NA NA
1543442400.0 136.759 NA 91 402 0 NA NA NA 159 609 0 NA NA NA 667 16472 1021 NA NA NA 790 6929 1350 NA NA
1543442400.0 136.761 NA 90 409 0 NA NA NA 157 623 0 NA NA NA 762 19437 1011 NA NA NA 932 8027 1161 NA NA
1543442400.0 136.7611 NA 182 0 NA NA NA NA 304 0 NA NA NA NA 6282 179 NA NA NA NA 6969 318 NA NA NA
1543442400.0 136.762 NA 93 404 0 NA NA NA 167 697 0 NA NA NA 725 22260 1024 NA NA NA 849 10971 1317 NA NA
1543442400.0 136.763 NA 94 387 0 NA NA NA 172 570 0 NA NA NA 708 17493 1020 NA NA NA 757 7259 1092 NA NA
1543442400.0 136.766 NA 90 415 0 NA NA NA 167 666 0 NA NA NA 700 17404 1004 NA NA NA 867 7492 1543 NA NA
1543442400.0 136.768 NA 84 368 0 NA NA NA 163 565 0 NA NA NA 766 16311 1000 NA NA NA 686 7183 1174 NA NA
1543442400.0 136.7721 NA 181 0 NA NA NA NA 286 0 NA NA NA NA 6052 176 NA NA NA NA 6626 351 NA NA NA
1543442400.0 136.7722 NA 153 0 NA NA NA NA 270 0 NA NA NA NA 2402 166 NA NA NA NA 3047 346 NA NA NA
1543442400.0 136.7802 NA 74 0 NA NA NA NA 145 0 NA NA NA NA 1457 292 NA NA NA NA 1956 435 NA NA NA
1543442400.0 136.7803 NA 105 0 NA NA NA NA 194 0 NA NA NA NA 1936 420 NA NA NA NA 4039 1379 NA NA NA
1543442400.0 136.8311 NA 180 0 NA NA NA NA 292 0 NA NA NA NA 4352 290 NA NA NA NA 4453 763 NA NA NA
1543442400.0 1361.0 97 129 351 0 NA NA 186 602 499 0 NA NA 3551 657 2980 1031 NA NA 3464 1054 3208 1147 NA NA
1543442400.0 1361.17 71 165 358 0 NA NA 150 605 583 0 NA NA 3351 746 3098 1395 NA NA 3154 610 4044 1548 NA NA
1543442400.0 1362.17 75 176 365 0 NA NA 155 604 581 0 NA NA 5668 753 3156 1455 NA NA 5311 626 3851 1649 NA NA
1543442400.0 1363.17 76 166 378 0 NA NA 153 604 527 0 NA NA 5390 798 3070 1406 NA NA 5127 1573 3204 1612 NA NA
1543442400.0 2017.1 384 0 138 NA NA NA 732 0 238 NA NA NA 2267 538 1769 NA NA NA 2558 1550 2108 NA NA NA
1543442400.0 2017.11 404 0 135 NA NA NA 739 0 239 NA NA NA 2408 564 1877 NA NA NA 2353 871 2975 NA NA NA
