Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1543356000.0 1001.0 NA 258 109 0 0 0 0 0 0 NA 408 185 0 0 0 0 0 0 NA 3968 1489 149 144 231 795 497 859 NA 5276 2490 367 305 394 899 656 1483
1543356000.0 1002.0 NA 297 79 NA NA NA NA NA NA NA 457 135 NA NA NA NA NA NA NA 4737 1303 NA NA NA NA NA NA NA 3948 1191 NA NA NA NA NA NA
1543356000.0 1003.0 NA 254 0 NA NA NA NA NA NA NA 373 0 NA NA NA NA NA NA NA 4178 820 NA NA NA NA NA NA NA 3143 1235 NA NA NA NA NA NA
1543356000.0 1004.0 NA 219 94 0 0 0 0 NA NA NA 350 154 0 0 0 0 NA NA NA 2089 946 127 217 798 743 NA NA NA 3901 1322 188 300 992 812 NA NA
1543356000.0 101.0 89 NA NA NA NA NA NA NA NA 171 NA NA NA NA NA NA NA NA 1242 NA NA NA NA NA NA NA NA 2456 NA NA NA NA NA NA NA NA
1543356000.0 1010.0 NA 31 33 0 NA NA NA NA NA NA 87 104 0 NA NA NA NA NA NA 166 343 234 NA NA NA NA NA NA 363 388 290 NA NA NA NA NA
1543356000.0 1020.0 NA 72 27 0 73 NA NA NA NA NA 147 73 0 146 NA NA NA NA NA 359 148 121 397 NA NA NA NA NA 484 240 300 1133 NA NA NA NA
1543356000.0 1040.1 NA 65 26 0 NA NA NA NA NA NA 139 76 0 NA NA NA NA NA NA 1133 176 166 NA NA NA NA NA NA 1678 392 309 NA NA NA NA NA
1543356000.0 106.0 44 0 0 NA NA NA NA NA NA 107 0 0 NA NA NA NA NA NA 1057 580 3403 NA NA NA NA NA NA 1786 1035 5325 NA NA NA NA NA NA
1543356000.0 1301.17 73 161 229 NA NA NA NA NA NA 149 602 426 NA NA NA NA NA NA 1609 835 2377 NA NA NA NA NA NA 1565 1629 2654 NA NA NA NA NA NA
1543356000.0 1325.5 NA 166 0 NA NA NA NA NA NA NA 296 0 NA NA NA NA NA NA NA 5880 202 NA NA NA NA NA NA NA 6965 434 NA NA NA NA NA NA
1543356000.0 1325.6 NA 154 NA NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA NA 4416 NA NA NA NA NA NA NA NA 4951 NA NA NA NA NA NA NA
