Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1541890800.0 1.0 54 82 128 NA NA NA NA NA 98 147 183 NA NA NA NA NA 1806 336 786 NA NA NA NA NA 1863 369 827 NA NA NA NA NA
1541890800.0 10.0 NA 82 195 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 1901 1774 490 NA NA NA NA NA 2096 1901 588 NA NA NA NA
1541890800.0 1000.0 NA 215 133 0 44 NA NA NA NA 288 186 0 79 NA NA NA NA 2917 655 580 144 NA NA NA NA 3083 824 608 236 NA NA NA
1541890800.0 1001.0 NA 195 176 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 1492 341 5 42 406 27 507 NA 1553 363 12 48 417 36 524
1541890800.0 1002.0 NA 214 60 NA NA NA NA NA NA 275 100 NA NA NA NA NA NA 2244 154 NA NA NA NA NA NA 2362 173 NA NA NA NA NA
1541890800.0 10021.0 NA 89 130 0 NA NA NA NA NA 181 180 0 NA NA NA NA NA 617 631 190 NA NA NA NA NA 770 732 220 NA NA NA NA
1541890800.0 10023.0 NA 88 131 0 NA NA NA NA NA 181 182 0 NA NA NA NA NA 447 369 185 NA NA NA NA NA 521 445 204 NA NA NA NA
1541890800.0 10024.0 NA 93 133 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 520 500 213 NA NA NA NA NA 592 584 230 NA NA NA NA
1541890800.0 10025.0 NA 88 132 0 NA NA NA NA NA 181 181 0 NA NA NA NA NA 452 376 194 NA NA NA NA NA 516 454 260 NA NA NA NA
1541890800.0 10026.0 NA 92 134 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 561 565 202 NA NA NA NA NA 660 655 219 NA NA NA NA
1541890800.0 1003.0 NA 180 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 2372 257 NA NA NA NA NA NA 2441 270 NA NA NA NA NA
1541890800.0 1004.0 NA 179 132 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 420 191 6 41 400 356 NA NA 472 240 14 48 444 373 NA
1541890800.0 101.0 84 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 873 NA NA NA NA NA NA NA 921 NA NA NA NA NA NA NA
1541890800.0 102.0 84 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 695 NA NA NA NA NA NA NA 723 NA NA NA NA NA NA NA
1541890800.0 10224.0 NA 119 193 0 NA NA NA NA NA 196 278 0 NA NA NA NA NA 3025 2913 362 NA NA NA NA NA 7808 8286 577 NA NA NA NA
1541890800.0 10225.0 NA 125 184 0 NA NA NA NA NA 199 281 0 NA NA NA NA NA 3023 2468 297 NA NA NA NA NA 8505 7834 325 NA NA NA NA
1541890800.0 103.0 49 84 189 NA NA NA NA NA 94 149 254 NA NA NA NA NA 675 240 427 NA NA NA NA NA 698 272 557 NA NA NA NA NA
1541890800.0 105.0 53 76 23 NA NA NA NA NA 98 149 54 NA NA NA NA NA 2012 409 3 NA NA NA NA NA 2075 443 10 NA NA NA NA NA
1541890800.0 106.0 40 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 316 66 129 NA NA NA NA NA 357 79 155 NA NA NA NA NA
1541890800.0 107.0 54 78 192 NA NA NA NA NA 99 149 254 NA NA NA NA NA 2924 365 407 NA NA NA NA NA 2985 398 455 NA NA NA NA NA
1541890800.0 108.0 55 87 195 NA NA NA NA NA 102 149 254 NA NA NA NA NA 5377 445 666 NA NA NA NA NA 5459 532 782 NA NA NA NA NA
1541890800.0 109.0 56 80 192 NA NA NA NA NA 101 149 254 NA NA NA NA NA 5922 482 633 NA NA NA NA NA 6175 589 866 NA NA NA NA NA
