Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1542146400.0 120.0 45 76 188 NA NA NA NA NA 89 149 254 NA NA NA NA NA 380 276 338 NA NA NA NA NA 402 294 385 NA NA NA NA NA
1542146400.0 121.0 56 79 194 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4690 361 500 NA NA NA NA NA 4765 419 571 NA NA NA NA NA
1542146400.0 122.0 53 87 189 NA NA NA NA NA 98 159 254 NA NA NA NA NA 1020 203 331 NA NA NA NA NA 1067 227 370 NA NA NA NA NA
1542146400.0 123.1 179 NA NA NA NA NA NA NA 237 NA NA NA NA NA NA NA 429 NA NA NA NA NA NA NA 472 NA NA NA NA NA NA NA
1542146400.0 123.2 177 NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 541 NA NA NA NA NA NA NA
1542146400.0 123.3 161 NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA 293 NA NA NA NA NA NA NA 333 NA NA NA NA NA NA NA
1542146400.0 124.1 177 NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA 290 NA NA NA NA NA NA NA 332 NA NA NA NA NA NA NA
1542146400.0 124.2 175 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 393 NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA
1542146400.0 124.4 173 NA NA NA NA NA NA NA 232 NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA
1542146400.0 124.5 174 NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA 303 NA NA NA NA NA NA NA 335 NA NA NA NA NA NA NA
1542146400.0 124.6 163 NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA 353 NA NA NA NA NA NA NA
1542146400.0 125.0 56 82 192 NA NA NA NA NA 101 149 255 NA NA NA NA NA 3656 326 432 NA NA NA NA NA 4203 356 478 NA NA NA NA NA
1542146400.0 126.0 45 73 189 NA NA NA NA NA 85 149 254 NA NA NA NA NA 743 298 352 NA NA NA NA NA 761 328 477 NA NA NA NA NA
1542146400.0 127.0 46 74 190 NA NA NA NA NA 90 149 254 NA NA NA NA NA 835 316 352 NA NA NA NA NA 872 336 390 NA NA NA NA NA
1542146400.0 128.0 44 76 190 NA NA NA NA NA 84 149 254 NA NA NA NA NA 357 283 315 NA NA NA NA NA 371 306 336 NA NA NA NA NA
1542146400.0 129.0 45 81 189 NA NA NA NA NA 84 149 254 NA NA NA NA NA 370 283 337 NA NA NA NA NA 385 321 374 NA NA NA NA NA
1542146400.0 13.0 NA 73 190 0 NA NA NA NA NA 151 254 0 NA NA NA NA NA 252 615 367 NA NA NA NA NA 302 647 380 NA NA NA NA
1542146400.0 130.0 46 77 189 NA NA NA NA NA 89 149 254 NA NA NA NA NA 441 280 324 NA NA NA NA NA 462 301 407 NA NA NA NA NA
1542146400.0 1301.0 58 135 177 NA NA NA NA NA 104 199 230 NA NA NA NA NA 1223 441 1148 NA NA NA NA NA 1388 567 1514 NA NA NA NA NA
1542146400.0 1302.0 64 147 174 NA NA NA NA NA 110 199 235 NA NA NA NA NA 4930 514 1389 NA NA NA NA NA 5046 596 1491 NA NA NA NA NA
1542146400.0 1303.0 50 150 189 NA NA NA NA NA 111 199 240 NA NA NA NA NA 6584 656 1502 NA NA NA NA NA 9690 741 1675 NA NA NA NA NA
1542146400.0 1306.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1307.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1308.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1309.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 131.0 49 77 190 NA NA NA NA NA 90 149 254 NA NA NA NA NA 872 285 337 NA NA NA NA NA 894 322 370 NA NA NA NA NA
1542146400.0 1310.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1311.0 NA 160 221 0 70 NA NA NA NA 227 291 0 101 NA NA NA NA 450 845 1366 76 NA NA NA NA 542 1272 1433 144 NA NA NA
1542146400.0 1312.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1313.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1314.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1315.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1316.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1317.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1318.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1319.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 132.0 52 79 189 NA NA NA NA NA 96 149 254 NA NA NA NA NA 2204 303 413 NA NA NA NA NA 2257 337 461 NA NA NA NA NA
1542146400.0 1320.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1321.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1322.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1323.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1324.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1325.0 NA 168 243 0 78 NA NA NA NA 229 316 0 110 NA NA NA NA 599 1362 1574 108 NA NA NA NA 684 1886 1674 153 NA NA NA
1542146400.0 1326.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1327.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1328.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1329.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 133.0 57 87 196 NA NA NA NA NA 102 149 255 NA NA NA NA NA 4921 379 532 NA NA NA NA NA 5023 426 643 NA NA NA NA NA
1542146400.0 1330.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1331.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1332.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1333.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1334.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1335.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1336.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1337.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1338.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 1339.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1542146400.0 134.0 NA 218 37 0 NA NA NA NA NA 282 71 0 NA NA NA NA NA 2239 6 7 NA NA NA NA NA 2351 134 13 NA NA NA NA
1542146400.0 134.701 NA 35 237 0 NA NA NA NA NA 85 307 0 NA NA NA NA NA 148 3916 407 NA NA NA NA NA 179 4115 428 NA NA NA NA
1542146400.0 134.702 NA 44 231 0 NA NA NA NA NA 82 304 0 NA NA NA NA NA 150 4997 398 NA NA NA NA NA 306 6872 431 NA NA NA NA
1542146400.0 134.703 NA 37 228 0 NA NA NA NA NA 87 314 0 NA NA NA NA NA 150 5135 411 NA NA NA NA NA 177 5596 435 NA NA NA NA
1542146400.0 134.704 NA 40 226 0 NA NA NA NA NA 83 303 0 NA NA NA NA NA 147 5583 462 NA NA NA NA NA 169 5990 499 NA NA NA NA
1542146400.0 134.705 NA 41 239 0 NA NA NA NA NA 87 315 0 NA NA NA NA NA 147 4953 407 NA NA NA NA NA 212 5108 436 NA NA NA NA
1542146400.0 134.706 NA 40 231 0 NA NA NA NA NA 86 312 0 NA NA NA NA NA 152 5431 411 NA NA NA NA NA 214 6008 423 NA NA NA NA
1542146400.0 134.707 NA 44 232 0 NA NA NA NA NA 86 301 0 NA NA NA NA NA 148 5333 461 NA NA NA NA NA 181 5891 491 NA NA NA NA
1542146400.0 134.708 NA 45 225 0 NA NA NA NA NA 84 299 0 NA NA NA NA NA 152 4931 419 NA NA NA NA NA 186 5464 442 NA NA NA NA
1542146400.0 134.709 NA 46 225 0 NA NA NA NA NA 86 306 0 NA NA NA NA NA 151 4958 403 NA NA NA NA NA 234 5539 428 NA NA NA NA
1542146400.0 134.71 NA 34 227 0 NA NA NA NA NA 79 299 0 NA NA NA NA NA 130 3341 398 NA NA NA NA NA 177 3686 423 NA NA NA NA
1542146400.0 134.801 NA 44 228 0 NA NA NA NA NA 84 304 0 NA NA NA NA NA 141 4142 448 NA NA NA NA NA 170 4712 470 NA NA NA NA
1542146400.0 134.802 NA 40 230 0 NA NA NA NA NA 86 308 0 NA NA NA NA NA 189 6045 388 NA NA NA NA NA 226 6276 421 NA NA NA NA
1542146400.0 134.803 NA 35 226 0 NA NA NA NA NA 87 312 0 NA NA NA NA NA 181 5766 383 NA NA NA NA NA 217 6254 421 NA NA NA NA
1542146400.0 134.804 NA 40 225 0 NA NA NA NA NA 86 314 0 NA NA NA NA NA 183 6203 370 NA NA NA NA NA 218 6593 389 NA NA NA NA
1542146400.0 134.805 NA 46 237 0 NA NA NA NA NA 88 319 0 NA NA NA NA NA 181 5899 365 NA NA NA NA NA 208 6061 387 NA NA NA NA
1542146400.0 134.806 NA 41 246 0 NA NA NA NA NA 85 320 0 NA NA NA NA NA 193 6734 425 NA NA NA NA NA 247 7204 477 NA NA NA NA
1542146400.0 134.807 NA 83 237 0 NA NA NA NA NA 147 334 0 NA NA NA NA NA 605 6180 418 NA NA NA NA NA 751 7562 461 NA NA NA NA
1542146400.0 134.808 NA 79 251 0 NA NA NA NA NA 146 338 0 NA NA NA NA NA 598 6345 408 NA NA NA NA NA 633 6799 423 NA NA NA NA
