Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543100400.0 1.0 102 92 156 NA NA 185 368 235 NA NA 1557 485 268 NA NA 884 341 341 NA NA
1543100400.0 123.1 367 NA NA NA NA 503 NA NA NA NA 665 NA NA NA NA 475 NA NA NA NA
1543100400.0 123.2 370 NA NA NA NA 500 NA NA NA NA 732 NA NA NA NA 616 NA NA NA NA
1543100400.0 123.3 280 NA NA NA NA 502 NA NA NA NA 436 NA NA NA NA 459 NA NA NA NA
1543100400.0 124.5 355 NA NA NA NA 494 NA NA NA NA 518 NA NA NA NA 422 NA NA NA NA
1543100400.0 124.6 250 NA NA NA NA 495 NA NA NA NA 588 NA NA NA NA 880 NA NA NA NA
1543100400.0 128.0 64 86 453 NA NA 115 361 546 NA NA 1136 355 464 NA NA 1158 666 869 NA NA
1543100400.0 1301.0 91 93 179 NA NA 152 374 300 NA NA 2169 710 484 NA NA 1401 605 856 NA NA
1543100400.0 1302.0 102 103 165 NA NA 167 379 303 NA NA 6908 818 754 NA NA 3752 701 1124 NA NA
1543100400.0 1303.0 89 103 194 NA NA 157 377 307 NA NA 12382 690 944 NA NA 7157 578 889 NA NA
1543100400.0 134.813 NA 182 68 0 NA NA 271 111 0 NA NA 655 80 126 NA NA 629 84 196 NA
1543100400.0 136.7611 NA 157 0 NA NA NA 298 0 NA NA NA 3533 125 NA NA NA 3561 223 NA NA
1543100400.0 136.791 NA 203 541 0 NA NA 313 677 0 NA NA 2486 5105 2787 NA NA 3566 5169 3923 NA
1543100400.0 2.0 92 99 151 NA NA 188 368 241 NA NA 3879 568 401 NA NA 1833 453 361 NA NA
1543100400.0 250406.0 310 0 97 NA NA 526 0 152 NA NA 634 118 145 NA NA 661 163 326 NA NA
1543100400.0 250407.0 326 0 103 NA NA 526 0 161 NA NA 778 107 177 NA NA 619 168 204 NA NA
1543100400.0 3.0 91 95 151 NA NA 175 361 237 NA NA 6033 457 516 NA NA 3371 321 578 NA NA
1543100400.0 4.22 NA 195 68 62 0 NA 283 117 126 0 NA 760 203 285 132 NA 555 198 330 248
1543100400.0 4001.0 NA 169 548 NA NA NA 388 668 NA NA NA 818 1330 NA NA NA 1450 1277 NA NA
1543100400.0 4008.0 43 0 0 NA NA 89 0 0 NA NA 337 95 400 NA NA 689 56 1433 NA NA
1543100400.0 5.2 280 0 NA NA NA 502 0 NA NA NA 502 113 NA NA NA 642 170 NA NA NA
1543100400.0 500199.0 169 NA NA NA NA 401 NA NA NA NA 3690 NA NA NA NA 2334 NA NA NA NA
1543100400.0 503.0 35 0 NA NA NA 77 0 NA NA NA 167 34 NA NA NA 291 152 NA NA NA
1543100400.0 504.0 40 0 NA NA NA 79 0 NA NA NA 249 30 NA NA NA 489 132 NA NA NA
1543100400.0 505.0 42 0 NA NA NA 78 0 NA NA NA 98 22 NA NA NA 205 88 NA NA NA
1543100400.0 506.0 35 0 NA NA NA 78 0 NA NA NA 140 34 NA NA NA 391 137 NA NA NA
1543100400.0 507.0 34 0 NA NA NA 77 0 NA NA NA 142 34 NA NA NA 302 173 NA NA NA
1543100400.0 508.0 35 0 NA NA NA 77 0 NA NA NA 91 35 NA NA NA 221 157 NA NA NA
1543100400.0 509.0 34 0 NA NA NA 76 0 NA NA NA 154 38 NA NA NA 334 151 NA NA NA
1543100400.0 510.0 35 0 NA NA NA 78 0 NA NA NA 270 32 NA NA NA 421 172 NA NA NA
1543100400.0 514.0 16 36 0 NA NA 57 84 0 NA NA 1103 135 31 NA NA 2891 370 133 NA NA
1543100400.0 517.0 16 37 0 NA NA 58 84 0 NA NA 3783 137 34 NA NA 6936 238 157 NA NA
1543100400.0 520.0 16 36 0 NA NA 57 84 0 NA NA 3838 200 42 NA NA 6820 333 153 NA NA
1543100400.0 523.0 16 51 0 NA NA 57 96 0 NA NA 2073 142 45 NA NA 2653 255 156 NA NA
1543100400.0 524.0 16 39 0 NA NA 57 85 0 NA NA 3729 161 28 NA NA 6955 241 85 NA NA
1543100400.0 527.0 16 39 0 NA NA 57 84 0 NA NA 3743 221 31 NA NA 6917 361 155 NA NA
1543100400.0 530.0 16 36 0 NA NA 57 85 0 NA NA 3747 172 30 NA NA 7939 389 132 NA NA
1543100400.0 531.0 63 0 NA NA NA 188 0 NA NA NA 703 35 NA NA NA 1097 156 NA NA NA
1543100400.0 534.0 42 0 NA NA NA 96 0 NA NA NA 155 35 NA NA NA 442 124 NA NA NA
1543100400.0 541.0 45 0 NA NA NA 89 0 NA NA NA 149 29 NA NA NA 437 172 NA NA NA
1543100400.0 545.0 42 0 NA NA NA 88 0 NA NA NA 115 24 NA NA NA 260 89 NA NA NA
1543100400.0 551.0 16 38 0 NA NA 57 84 0 NA NA 1915 139 35 NA NA 2063 219 130 NA NA
1543100400.0 552.0 16 39 0 NA NA 57 84 0 NA NA 3752 468 28 NA NA 7861 691 167 NA NA
1543100400.0 554.0 16 38 0 NA NA 57 84 0 NA NA 5947 135 32 NA NA 9994 266 149 NA NA
1543100400.0 555.0 16 37 0 NA NA 57 83 0 NA NA 2138 84 34 NA NA 3635 207 124 NA NA
