Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542232800.0 1.0 83 108 222 NA NA NA NA NA NA 197 583 350 NA NA NA NA NA NA 1757 519 844 NA NA NA NA NA NA 1094 418 1218 NA NA NA NA NA NA
1542232800.0 10.0 NA 136 298 0 NA NA NA NA NA NA 592 466 0 NA NA NA NA NA NA 2316 3174 590 NA NA NA NA NA NA 1318 2028 793 NA NA NA NA NA
1542232800.0 1000.0 NA 320 188 0 63 NA NA NA NA NA 468 279 0 99 NA NA NA NA NA 2636 1168 716 278 NA NA NA NA NA 1385 972 821 393 NA NA NA NA
1542232800.0 10001.0 NA 172 390 0 87 NA NA NA NA NA 610 538 0 126 NA NA NA NA NA 690 1549 983 341 NA NA NA NA NA 560 1537 1061 339 NA NA NA NA
1542232800.0 10002.0 NA 175 379 0 81 NA NA NA NA NA 610 540 0 126 NA NA NA NA NA 606 1617 935 249 NA NA NA NA NA 413 1609 986 330 NA NA NA NA
1542232800.0 10003.0 NA 182 382 0 88 NA NA NA NA NA 609 527 0 126 NA NA NA NA NA 624 1571 935 251 NA NA NA NA NA 423 1621 985 335 NA NA NA NA
1542232800.0 10004.0 NA 185 386 0 76 NA NA NA NA NA 606 539 0 122 NA NA NA NA NA 615 1500 946 252 NA NA NA NA NA 433 1496 1030 343 NA NA NA NA
1542232800.0 10005.0 NA 179 381 0 77 NA NA NA NA NA 562 507 0 127 NA NA NA NA NA 627 1586 939 239 NA NA NA NA NA 434 1585 981 315 NA NA NA NA
1542232800.0 10006.0 NA 180 363 0 83 NA NA NA NA NA 608 538 0 132 NA NA NA NA NA 608 1821 938 254 NA NA NA NA NA 431 1825 993 361 NA NA NA NA
1542232800.0 10007.0 NA 184 386 0 76 NA NA NA NA NA 609 516 0 132 NA NA NA NA NA 630 1553 969 250 NA NA NA NA NA 437 1523 1035 353 NA NA NA NA
