Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543226400.0 101.0 87 NA NA NA NA 161 NA NA NA NA 855 NA NA NA NA 1800 NA NA NA NA
1543226400.0 1010.0 NA 36 47 0 NA NA 87 98 0 NA NA 115 187 128 NA NA 451 669 226 NA
1543226400.0 102.0 94 NA NA NA NA 161 NA NA NA NA 738 NA NA NA NA 976 NA NA NA NA
1543226400.0 1020.0 NA 73 24 0 74 NA 142 70 0 142 NA 255 93 74 258 NA 405 205 196 874
1543226400.0 1040.1 NA 72 29 0 NA NA 134 74 0 NA NA 444 129 114 NA NA 634 650 249 NA
1543226400.0 106.0 54 0 0 NA NA 108 0 0 NA NA 481 275 1197 NA NA 1031 505 1506 NA NA
1543226400.0 110.0 67 108 271 NA NA 136 584 427 NA NA 584 479 1370 NA NA 904 673 2042 NA NA
1543226400.0 111.0 95 108 279 NA NA 192 583 433 NA NA 1501 384 1395 NA NA 1420 514 2340 NA NA
1543226400.0 122.0 49 0 0 NA NA 107 0 0 NA NA 821 275 1149 NA NA 1011 368 2525 NA NA
1543226400.0 123.3 239 NA NA NA NA 683 NA NA NA NA 1029 NA NA NA NA 2788 NA NA NA NA
1543226400.0 1325.5 NA 171 0 NA NA NA 287 0 NA NA NA 4362 148 NA NA NA 6650 302 NA NA
1543226400.0 1325.51 NA 169 0 NA NA NA 268 0 NA NA NA 1457 131 NA NA NA 3055 255 NA NA
1543226400.0 1325.7 NA 165 0 NA NA NA 265 0 NA NA NA 4577 223 NA NA NA 7817 1207 NA NA
1543226400.0 1325.8 NA 169 0 NA NA NA 267 0 NA NA NA 3286 220 NA NA NA 4929 567 NA NA
1543226400.0 134.813 NA 163 70 0 NA NA 280 122 0 NA NA 1138 236 371 NA NA 1211 512 747 NA
1543226400.0 135.8 179 NA NA NA NA 259 NA NA NA NA 564 NA NA NA NA 758 NA NA NA NA
1543226400.0 136.76 NA 97 363 0 NA NA 163 551 0 NA NA 1071 25761 1279 NA NA 1531 12082 1723 NA
1543226400.0 136.7611 NA 177 0 NA NA NA 289 0 NA NA NA 7586 246 NA NA NA 8814 1094 NA NA
1543226400.0 136.762 NA 99 386 0 NA NA 164 636 0 NA NA 983 31312 1205 NA NA 1508 15074 1701 NA
1543226400.0 136.763 NA 99 371 0 NA NA 166 555 0 NA NA 1017 25162 1325 NA NA 1509 10927 1729 NA
1543226400.0 136.764 NA 96 350 0 NA NA 159 565 0 NA NA 929 23733 1350 NA NA 1467 12917 1860 NA
1543226400.0 136.765 NA 100 373 0 NA NA 159 554 0 NA NA 977 21218 1395 NA NA 1502 9919 3236 NA
1543226400.0 136.7721 NA 169 0 NA NA NA 295 0 NA NA NA 7374 231 NA NA NA 8918 1072 NA NA
1543226400.0 136.7801 NA 110 0 NA NA NA 181 0 NA NA NA 438 237 NA NA NA 1367 432 NA NA
1543226400.0 136.7802 NA 75 0 NA NA NA 135 0 NA NA NA 306 177 NA NA NA 700 777 NA NA
1543226400.0 136.7803 NA 119 0 NA NA NA 191 0 NA NA NA 668 225 NA NA NA 800 981 NA NA
1543226400.0 136.819 NA 122 434 0 NA NA 189 739 0 NA NA 597 20043 1052 NA NA 1207 8169 1216 NA
1543226400.0 136.824 NA 120 445 0 NA NA 189 754 0 NA NA 576 22136 1137 NA NA 1223 9429 2030 NA
1543226400.0 136.83 NA 122 417 0 NA NA 194 694 0 NA NA 704 18695 1108 NA NA 1227 7479 2042 NA
1543226400.0 136.832 NA 120 476 0 NA NA 186 781 0 NA NA 621 22799 1005 NA NA 1223 8771 1118 NA
1543226400.0 136.834 NA 111 425 0 NA NA 191 685 0 NA NA 638 19795 1150 NA NA 914 8074 1338 NA
1543226400.0 136.8521 NA 165 0 NA NA NA 279 0 NA NA NA 1407 159 NA NA NA 1943 595 NA NA
1543226400.0 136.8562 NA 217 349 0 NA NA 352 521 0 NA NA 1521 2432 1041 NA NA 1643 2380 1560 NA
1543226400.0 2017.8 221 NA NA NA NA 316 NA NA NA NA 978 NA NA NA NA 1960 NA NA NA NA
1543226400.0 24.0 NA 133 306 0 NA NA 547 454 0 NA NA 2392 3536 602 NA NA 1306 2792 830 NA
1543226400.0 25213.17 78 327 453 0 NA 148 577 664 0 NA 5574 3013 3503 1036 NA 6764 2167 2673 1178 NA
1543226400.0 4.22 NA 162 73 81 0 NA 271 123 140 0 NA 1007 263 320 306 NA 1748 821 895 888
1543226400.0 4.28 NA 75 307 0 NA NA 132 443 0 NA NA 396 2875 2595 NA NA 1078 4107 3058 NA
1543226400.0 50205.0 NA 196 417 0 NA NA 573 577 0 NA NA 1577 2760 610 NA NA 1661 3536 780 NA
1543226400.0 503.0 44 0 NA NA NA 87 0 NA NA NA 283 130 NA NA NA 719 300 NA NA NA
1543226400.0 504.0 47 0 NA NA NA 87 0 NA NA NA 164 146 NA NA NA 464 282 NA NA NA
1543226400.0 505.0 44 0 NA NA NA 87 0 NA NA NA 191 137 NA NA NA 452 394 NA NA NA
1543226400.0 506.0 46 0 NA NA NA 88 0 NA NA NA 207 127 NA NA NA 344 386 NA NA NA
1543226400.0 507.0 44 0 NA NA NA 87 0 NA NA NA 215 127 NA NA NA 496 446 NA NA NA
1543226400.0 508.0 46 0 NA NA NA 86 0 NA NA NA 175 141 NA NA NA 238 454 NA NA NA
1543226400.0 509.0 43 0 NA NA NA 83 0 NA NA NA 162 179 NA NA NA 711 629 NA NA NA
1543226400.0 510.0 45 0 NA NA NA 85 0 NA NA NA 288 131 NA NA NA 366 429 NA NA NA
