Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543356000.0 1010.0 NA 40 41 0 NA 86 100 0 NA 126 214 167 NA 523 533 402
1543356000.0 102.0 92 NA NA NA 161 NA NA NA 778 NA NA NA 1611 NA NA NA
1543356000.0 1040.1 NA 84 29 0 NA 147 76 0 NA 563 144 147 NA 625 399 651
1543356000.0 122.0 49 0 0 NA 108 0 0 NA 844 282 1683 NA 719 281 2758 NA
1543356000.0 1325.5 NA 171 0 NA NA 283 0 NA NA 4985 162 NA NA 6592 347 NA
1543356000.0 1325.51 NA 158 0 NA NA 265 0 NA NA 2051 212 NA NA 3256 1367 NA
1543356000.0 1325.7 NA 166 0 NA NA 270 0 NA NA 3869 137 NA NA 6042 353 NA
1543356000.0 1325.8 NA 171 0 NA NA 262 0 NA NA 3348 135 NA NA 4412 471 NA
1543356000.0 134.802 NA 45 344 0 NA 112 489 0 NA 306 7237 704 NA 402 3736 846
1543356000.0 134.807 NA 128 395 0 NA 227 529 0 NA 1174 8047 908 NA 863 3718 1010
1543356000.0 134.808 NA 139 299 0 NA 207 583 0 NA 1200 8808 792 NA 1216 4709 941
1543356000.0 135.12 296 0 133 NA 743 0 223 NA 1299 273 934 NA 1402 362 1103 NA
1543356000.0 135.8 184 NA NA NA 267 NA NA NA 465 NA NA NA 1227 NA NA NA
1543356000.0 136.733 NA 182 77 0 NA 296 133 0 NA 1179 370 306 NA 1295 650 706
1543356000.0 136.76 NA 95 380 0 NA 164 578 0 NA 674 17228 832 NA 1125 6782 1077
1543356000.0 136.761 NA 96 407 0 NA 160 612 0 NA 632 19423 854 NA 1102 7498 1007
1543356000.0 136.7611 NA 181 0 NA NA 303 0 NA NA 5521 137 NA NA 7060 325 NA
1543356000.0 136.762 NA 95 409 0 NA 172 693 0 NA 635 21614 867 NA 1123 8313 1249
