Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1543183200.0 1.0 85 114 193 NA NA NA 189 539 328 NA NA NA 1478 585 1390 NA NA NA 1099 836 1581 NA NA NA
1543183200.0 10001.0 NA 178 362 0 75 NA NA 606 538 0 134 NA NA 708 2362 1308 469 NA NA 713 2586 1657 555 NA
1543183200.0 10002.0 NA 173 370 0 83 NA NA 563 570 0 131 NA NA 1013 2462 1289 465 NA NA 770 2668 1753 544 NA
1543183200.0 10003.0 NA 168 370 0 75 NA NA 520 570 0 133 NA NA 744 2393 1200 518 NA NA 798 2782 1497 742 NA
1543183200.0 10004.0 NA 166 373 0 84 NA NA 564 572 0 129 NA NA 842 2485 1201 328 NA NA 743 2830 1377 511 NA
1543183200.0 10005.0 NA 178 360 0 76 NA NA 563 546 0 134 NA NA 700 2369 1204 303 NA NA 688 2544 1566 790 NA
1543183200.0 10006.0 NA 179 361 0 77 NA NA 563 540 0 134 NA NA 816 2586 1270 449 NA NA 650 2982 1421 738 NA
1543183200.0 10007.0 NA 172 370 0 76 NA NA 564 558 0 132 NA NA 939 2563 1194 450 NA NA 707 3551 1363 775 NA
1543183200.0 10008.0 NA 169 376 0 78 NA NA 564 559 0 132 NA NA 830 2313 1247 486 NA NA 690 2748 1400 570 NA
1543183200.0 10009.0 NA 175 375 0 72 NA NA 607 560 0 135 NA NA 695 2584 1345 346 NA NA 726 2880 1536 791 NA
1543183200.0 1002.0 NA 303 85 NA NA NA NA 431 141 NA NA NA NA 3293 422 NA NA NA NA 4447 378 NA NA NA
1543183200.0 10023.0 NA 180 356 0 75 NA NA 607 539 0 123 NA NA 747 2474 1268 337 NA NA 656 2813 1708 758 NA
