Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1543442400.0 101.0 102 NA NA 161 NA NA 854 NA NA 1552 NA NA
1543442400.0 102.0 99 NA NA 161 NA NA 772 NA NA 1503 NA NA
1543442400.0 122.0 50 0 0 108 0 0 988 224 1666 1279 258 3133
1543442400.0 135.8 150 NA NA 261 NA NA 610 NA NA 1434 NA NA
1543442400.0 136.7611 NA 179 0 NA 308 0 NA 8887 299 NA 12551 648
1543442400.0 136.7721 NA 174 0 NA 284 0 NA 8296 227 NA 12117 507
1543442400.0 136.7722 NA 158 0 NA 257 0 NA 3125 297 NA 3196 781
1543442400.0 2017.8 188 NA NA 320 NA NA 949 NA NA 1515 NA NA
