Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1541890800.0 1.0 100 84 173 NA NA NA NA NA 186 367 273 NA NA NA NA NA 2529 876 1495 NA NA NA NA NA 1780 919 1981 NA NA NA NA NA
1541890800.0 10.0 NA 123 452 0 NA NA NA NA NA 375 544 0 NA NA NA NA NA 3182 4566 556 NA NA NA NA NA 2000 3039 719 NA NA NA NA
1541890800.0 1000.0 NA 399 157 0 52 NA NA NA NA 510 260 0 90 NA NA NA NA 3474 1378 641 282 NA NA NA NA 3063 1302 814 409 NA NA NA
1541890800.0 10001.0 NA 211 636 84 0 NA NA NA NA 482 769 135 0 NA NA NA NA 1439 2236 382 1769 NA NA NA NA 1715 2947 573 1835 NA NA NA
1541890800.0 10002.0 NA 219 635 86 0 NA NA NA NA 476 794 136 0 NA NA NA NA 1374 2185 389 1819 NA NA NA NA 1995 2218 490 1999 NA NA NA
1541890800.0 10003.0 NA 213 637 84 0 NA NA NA NA 473 806 136 0 NA NA NA NA 1453 2295 390 1754 NA NA NA NA 1715 3505 606 1840 NA NA NA
1541890800.0 10004.0 NA 218 637 85 0 NA NA NA NA 474 792 135 0 NA NA NA NA 1322 2209 392 1724 NA NA NA NA 2670 2492 501 1828 NA NA NA
1541890800.0 10005.0 NA 219 593 94 0 NA NA NA NA 476 796 134 0 NA NA NA NA 1347 2413 383 1738 NA NA NA NA 2666 3014 521 1985 NA NA NA
1541890800.0 10006.0 NA 204 625 83 0 NA NA NA NA 460 774 134 0 NA NA NA NA 1381 2210 385 1751 NA NA NA NA 1681 2759 532 1825 NA NA NA
1541890800.0 10007.0 NA 205 633 98 0 NA NA NA NA 475 794 145 0 NA NA NA NA 1450 2267 395 1727 NA NA NA NA 1707 2827 682 1896 NA NA NA
1541890800.0 10008.0 NA 222 637 101 0 NA NA NA NA 466 783 145 0 NA NA NA NA 1344 2350 400 1725 NA NA NA NA 1589 2412 502 1817 NA NA NA
1541890800.0 10009.0 NA 210 613 105 0 NA NA NA NA 475 802 144 0 NA NA NA NA 1416 2363 405 1739 NA NA NA NA 1861 2613 1109 1839 NA NA NA
1541890800.0 1001.0 NA 361 179 0 0 0 0 0 NA 441 230 0 0 0 0 0 NA 2492 543 69 87 245 124 255 NA 2514 714 123 162 312 200 346
1541890800.0 1002.0 NA 395 69 NA NA NA NA NA NA 489 124 NA NA NA NA NA NA 3038 429 NA NA NA NA NA NA 2178 426 NA NA NA NA NA
1541890800.0 10023.0 NA 215 629 93 0 NA NA NA NA 469 770 134 0 NA NA NA NA 1374 2100 378 1737 NA NA NA NA 1900 2076 472 1836 NA NA NA
1541890800.0 10024.0 NA 217 653 106 0 NA NA NA NA 467 816 148 0 NA NA NA NA 1623 2551 435 1790 NA NA NA NA 1945 2400 607 1885 NA NA NA
