Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1543442400.0 200.0 NA 165 352 0 NA NA 561 509 0 NA NA 1643 4185 785 NA NA 1296 4578 872 NA
1543442400.0 2017.8 217 NA NA NA NA 311 NA NA NA NA 3190 NA NA NA NA 7532 NA NA NA NA
1543442400.0 202.0 NA 166 342 0 NA NA 559 509 0 NA NA 1651 4115 960 NA NA 1320 4344 1366 NA
1543442400.0 203.0 NA 181 377 0 NA NA 606 519 0 NA NA 1588 4363 802 NA NA 1215 4009 901 NA
1543442400.0 204.0 108 170 355 0 NA 213 558 509 0 NA 4156 1556 4085 855 NA 2471 1178 4355 1108 NA
1543442400.0 205.0 NA 163 352 0 NA NA 606 501 0 NA NA 1670 3797 836 NA NA 1222 3790 937 NA
1543442400.0 23.0 NA 126 296 0 NA NA 593 452 0 NA NA 2175 3148 642 NA NA 1189 3767 812 NA
1543442400.0 250407.0 299 0 132 NA NA 698 0 213 NA NA 1304 243 888 NA NA 1831 425 1549 NA NA
1543442400.0 280.0 85 100 270 0 NA 276 450 426 0 NA 4331 1066 3014 921 NA 3169 826 3793 1166 NA
1543442400.0 281.0 100 148 347 0 NA 294 604 487 0 NA 3793 736 1758 1084 NA 3108 929 2357 1295 NA
1543442400.0 3.0 83 107 203 NA NA 196 585 316 NA NA 5330 491 1552 NA NA 2952 506 1854 NA NA
1543442400.0 300.0 71 296 404 0 NA 153 631 601 0 NA 1730 1640 3617 1837 NA 1491 1734 4235 2089 NA
1543442400.0 301.0 73 267 410 0 NA 153 684 577 0 NA 2604 1913 3403 1855 NA 2591 1610 3835 2158 NA
1543442400.0 302.0 75 262 395 0 NA 157 690 610 0 NA 2117 2209 4258 1722 NA 1255 2091 4909 2171 NA
1543442400.0 4.17 NA 37 301 0 179 NA 99 419 0 288 NA 280 3082 627 1206 NA 396 4079 938 1289
1543442400.0 4.22 NA 168 70 74 0 NA 274 129 144 0 NA 955 328 337 244 NA 1180 513 564 822
1543442400.0 4.23 NA 75 311 0 NA NA 132 445 0 NA NA 363 2922 854 NA NA 923 2512 1003 NA
1543442400.0 4.24 NA 67 316 0 NA NA 119 442 0 NA NA 360 3075 711 NA NA 535 2502 822 NA
1543442400.0 4.25 NA 69 305 0 NA NA 121 431 0 NA NA 376 3095 722 NA NA 680 4152 1112 NA
1543442400.0 4.28 NA 79 304 0 NA NA 132 435 0 NA NA 300 2747 2324 NA NA 532 2758 2757 NA
1543442400.0 4.29 NA 47 312 0 200 NA 94 437 0 297 NA 293 3392 644 1326 NA 480 4547 1511 1320
1543442400.0 4.6 NA 310 0 NA NA NA 453 0 NA NA NA 2702 550 NA NA NA 2226 634 NA NA
1543442400.0 4008.0 59 117 286 NA NA 133 602 460 NA NA 1323 311 1660 NA NA 1514 445 2094 NA NA
1543442400.0 5.3 233 0 NA NA NA 683 0 NA NA NA 953 241 NA NA NA 914 420 NA NA NA
1543442400.0 500199.0 221 NA NA NA NA 572 NA NA NA NA 2205 NA NA NA NA 1363 NA NA NA NA
1543442400.0 500200.1 105 198 226 NA NA 171 617 380 NA NA 2070 992 1907 NA NA 1315 1136 1899 NA NA
1543442400.0 500202.0 NA 222 358 0 NA NA 573 510 0 NA NA 6970 3054 560 NA NA 4231 3274 716 NA
1543442400.0 500203.0 NA 214 332 0 NA NA 620 496 0 NA NA 7009 2582 557 NA NA 4056 2884 908 NA
1543442400.0 500205.0 NA 214 322 0 NA NA 577 478 0 NA NA 6645 2466 539 NA NA 3692 3527 665 NA
1543442400.0 503.0 38 0 NA NA NA 87 0 NA NA NA 288 343 NA NA NA 406 966 NA NA NA
1543442400.0 504.0 45 0 NA NA NA 89 0 NA NA NA 262 179 NA NA NA 350 240 NA NA NA
1543442400.0 505.0 46 0 NA NA NA 89 0 NA NA NA 339 183 NA NA NA 1012 254 NA NA NA
1543442400.0 506.0 48 0 NA NA NA 89 0 NA NA NA 272 185 NA NA NA 338 301 NA NA NA
1543442400.0 507.0 46 0 NA NA NA 86 0 NA NA NA 355 248 NA NA NA 624 469 NA NA NA
1543442400.0 508.0 47 0 NA NA NA 87 0 NA NA NA 243 192 NA NA NA 319 294 NA NA NA
1543442400.0 509.0 42 0 NA NA NA 84 0 NA NA NA 303 198 NA NA NA 895 369 NA NA NA
1543442400.0 510.0 41 0 NA NA NA 89 0 NA NA NA 555 217 NA NA NA 635 405 NA NA NA
