Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1542578400.0 1.0 78 112 203 NA NA NA NA NA NA 192 585 318 NA NA NA NA NA NA 1662 494 1300 NA NA NA NA NA NA 1079 440 1498 NA NA NA NA NA NA
1542578400.0 10.0 NA 140 309 0 NA NA NA NA NA NA 591 458 0 NA NA NA NA NA NA 2460 3646 596 NA NA NA NA NA NA 1213 2646 713 NA NA NA NA NA
1542578400.0 1000.0 NA 291 193 0 54 NA NA NA NA NA 455 277 0 109 NA NA NA NA NA 2823 1252 797 361 NA NA NA NA NA 2438 1396 958 648 NA NA NA NA
1542578400.0 10001.0 NA 163 360 0 73 NA NA NA NA NA 564 558 0 132 NA NA NA NA NA 642 2049 1001 380 NA NA NA NA NA 605 2270 1178 1822 NA NA NA NA
1542578400.0 10002.0 NA 164 360 0 87 NA NA NA NA NA 561 547 0 133 NA NA NA NA NA 663 2057 1031 351 NA NA NA NA NA 621 2245 1324 373 NA NA NA NA
1542578400.0 10003.0 NA 167 366 0 88 NA NA NA NA NA 606 545 0 134 NA NA NA NA NA 690 2043 1067 239 NA NA NA NA NA 764 2263 1176 367 NA NA NA NA
1542578400.0 10004.0 NA 168 366 0 82 NA NA NA NA NA 607 536 0 134 NA NA NA NA NA 685 2044 1046 385 NA NA NA NA NA 619 2218 1180 439 NA NA NA NA
1542578400.0 10005.0 NA 169 348 0 86 NA NA NA NA NA 565 548 0 134 NA NA NA NA NA 719 2023 1097 372 NA NA NA NA NA 522 2346 1338 1115 NA NA NA NA
1542578400.0 10006.0 NA 170 357 0 73 NA NA NA NA NA 610 571 0 134 NA NA NA NA NA 715 1966 1043 398 NA NA NA NA NA 569 3495 1290 798 NA NA NA NA
1542578400.0 10007.0 NA 162 367 0 75 NA NA NA NA NA 606 546 0 129 NA NA NA NA NA 645 2084 1074 248 NA NA NA NA NA 516 2446 1174 450 NA NA NA NA
1542578400.0 10008.0 NA 161 360 0 86 NA NA NA NA NA 609 561 0 137 NA NA NA NA NA 779 2036 1040 241 NA NA NA NA NA 762 2153 1202 359 NA NA NA NA
1542578400.0 10009.0 NA 167 370 0 76 NA NA NA NA NA 562 560 0 128 NA NA NA NA NA 709 2114 1051 247 NA NA NA NA NA 563 2997 1290 1252 NA NA NA NA
1542578400.0 1001.0 NA 265 130 0 0 0 0 0 0 NA 384 183 0 0 0 0 0 0 NA 2563 786 98 76 155 319 139 320 NA 1787 879 146 118 275 392 436 434
1542578400.0 1001.2 NA 385 142 0 NA NA NA NA NA NA 610 220 0 NA NA NA NA NA NA 14313 1856 146 NA NA NA NA NA NA 4770 1899 273 NA NA NA NA NA
1542578400.0 1002.0 NA 301 92 NA NA NA NA NA NA NA 425 138 NA NA NA NA NA NA NA 3376 424 NA NA NA NA NA NA NA 2990 794 NA NA NA NA NA NA
1542578400.0 10023.0 NA 158 364 0 79 NA NA NA NA NA 610 538 0 135 NA NA NA NA NA 788 1959 1069 274 NA NA NA NA NA 609 2365 1220 1225 NA NA NA NA
1542578400.0 10024.0 NA 176 379 0 87 NA NA NA NA NA 567 573 0 135 NA NA NA NA NA 739 2353 1064 375 NA NA NA NA NA 865 2283 1201 419 NA NA NA NA
1542578400.0 10024.1 NA 185 195 0 NA NA NA NA NA NA 608 345 0 NA NA NA NA NA NA 792 818 358 NA NA NA NA NA NA 512 931 474 NA NA NA NA NA
1542578400.0 10024.2 NA 188 373 0 NA NA NA NA NA NA 564 570 0 NA NA NA NA NA NA 800 2302 1075 NA NA NA NA NA NA 504 2232 1194 NA NA NA NA NA
1542578400.0 10024.3 NA 190 185 0 NA NA NA NA NA NA 611 338 0 NA NA NA NA NA NA 696 765 304 NA NA NA NA NA NA 466 1180 387 NA NA NA NA NA
1542578400.0 10024.4 NA 179 376 0 NA NA NA NA NA NA 610 540 0 NA NA NA NA NA NA 692 2403 1013 NA NA NA NA NA NA 526 2546 1168 NA NA NA NA NA
1542578400.0 10024.5 NA 168 167 0 NA NA NA NA NA NA 610 240 0 NA NA NA NA NA NA 823 460 133 NA NA NA NA NA NA 671 647 218 NA NA NA NA NA
1542578400.0 10025.0 NA 170 362 0 78 NA NA NA NA NA 612 544 0 134 NA NA NA NA NA 722 2164 1104 336 NA NA NA NA NA 811 2281 1201 365 NA NA NA NA
1542578400.0 10026.0 NA 175 391 0 81 NA NA NA NA NA 564 561 0 130 NA NA NA NA NA 893 2633 1036 369 NA NA NA NA NA 817 2463 1210 439 NA NA NA NA
1542578400.0 1003.0 NA 258 0 NA NA NA NA NA NA NA 389 0 NA NA NA NA NA NA NA 3212 614 NA NA NA NA NA NA NA 2268 725 NA NA NA NA NA NA
1542578400.0 1004.0 NA 225 108 0 0 0 0 NA NA NA 341 163 0 0 0 0 NA NA NA 991 446 96 134 293 323 NA NA NA 2349 471 183 200 351 443 NA NA
1542578400.0 10042.0 NA 169 372 0 77 NA NA NA NA NA 567 559 0 135 NA NA NA NA NA 799 2193 1079 248 NA NA NA NA NA 800 2278 1359 418 NA NA NA NA
1542578400.0 10059.0 NA 181 379 0 81 NA NA NA NA NA 607 557 0 129 NA NA NA NA NA 809 2746 1043 357 NA NA NA NA NA 916 2537 1171 401 NA NA NA NA
1542578400.0 10071.0 NA 176 370 0 85 NA NA NA NA NA 610 541 0 135 NA NA NA NA NA 753 2204 1108 362 NA NA NA NA NA 494 2247 1344 495 NA NA NA NA
1542578400.0 101.0 104 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 858 NA NA NA NA NA NA NA NA 1462 NA NA NA NA NA NA NA NA
1542578400.0 1010.0 NA 27 49 0 NA NA NA NA NA NA 86 99 0 NA NA NA NA NA NA 143 185 184 NA NA NA NA NA NA 2035 277 546 NA NA NA NA NA
1542578400.0 102.0 103 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 747 NA NA NA NA NA NA NA NA 1005 NA NA NA NA NA NA NA NA
1542578400.0 1020.0 NA 79 24 0 68 NA NA NA NA NA 144 72 0 146 NA NA NA NA NA 263 134 71 266 NA NA NA NA NA 414 1229 276 415 NA NA NA NA
1542578400.0 10224.0 NA 320 629 0 NA NA NA NA NA NA 625 866 0 NA NA NA NA NA NA 3100 4447 1033 NA NA NA NA NA NA 1551 3129 1103 NA NA NA NA NA
1542578400.0 10225.0 NA 333 658 0 NA NA NA NA NA NA 625 884 0 NA NA NA NA NA NA 2985 4036 1032 NA NA NA NA NA NA 1508 2751 1115 NA NA NA NA NA
1542578400.0 103.0 85 107 264 NA NA NA NA NA NA 176 586 424 NA NA NA NA NA NA 1504 457 1805 NA NA NA NA NA NA 1348 860 2288 NA NA NA NA NA NA
1542578400.0 1030.0 NA 191 58 0 0 NA NA NA NA NA 382 106 0 0 NA NA NA NA NA 7767 274 68 70 NA NA NA NA NA 2720 318 299 198 NA NA NA NA
1542578400.0 1040.0 NA 353 38 0 NA NA NA NA NA NA 553 77 0 NA NA NA NA NA NA 11653 145 122 NA NA NA NA NA NA 4105 250 335 NA NA NA NA NA
1542578400.0 1040.1 NA 83 37 0 NA NA NA NA NA NA 149 76 0 NA NA NA NA NA NA 498 135 148 NA NA NA NA NA NA 681 214 640 NA NA NA NA NA
1542578400.0 10424.0 NA 165 369 0 NA NA NA NA NA NA 607 558 0 NA NA NA NA NA NA 848 2219 1089 NA NA NA NA NA NA 781 2243 2146 NA NA NA NA NA
1542578400.0 105.0 92 109 34 NA NA NA NA NA NA 201 583 76 NA NA NA NA NA NA 1486 590 109 NA NA NA NA NA NA 1268 568 200 NA NA NA NA NA NA
1542578400.0 106.0 50 0 0 NA NA NA NA NA NA 105 0 0 NA NA NA NA NA NA 7032 288 1591 NA NA NA NA NA NA 7265 289 2832 NA NA NA NA NA NA
1542578400.0 107.0 103 111 286 NA NA NA NA NA NA 210 584 449 NA NA NA NA NA NA 2288 489 1856 NA NA NA NA NA NA 1119 805 1905 NA NA NA NA NA NA
1542578400.0 108.0 107 117 300 NA NA NA NA NA NA 214 585 435 NA NA NA NA NA NA 3131 677 1960 NA NA NA NA NA NA 1925 432 2063 NA NA NA NA NA NA
1542578400.0 10801.0 NA 259 387 0 95 155 NA NA NA NA 632 577 0 142 221 NA NA NA NA 1846 2285 1922 459 970 NA NA NA NA 1855 2357 2060 566 1020 NA NA NA
1542578400.0 10802.0 NA 266 390 0 94 156 NA NA NA NA 598 598 0 141 234 NA NA NA NA 1883 2317 1951 509 995 NA NA NA NA 2168 2333 2254 576 1286 NA NA NA
1542578400.0 10803.0 NA 264 394 0 86 160 NA NA NA NA 640 569 0 149 234 NA NA NA NA 2100 2397 1941 494 1002 NA NA NA NA 6363 2389 2073 670 1022 NA NA NA
1542578400.0 10804.0 NA 261 392 0 86 156 NA NA NA NA 666 591 0 146 221 NA NA NA NA 1873 2236 1963 536 997 NA NA NA NA 6482 2335 2104 606 1808 NA NA NA
1542578400.0 10805.0 NA 265 390 0 86 148 NA NA NA NA 671 560 0 147 231 NA NA NA NA 1861 2279 1956 424 998 NA NA NA NA 1934 3114 2147 571 1209 NA NA NA
1542578400.0 10806.0 NA 272 383 0 82 128 NA NA NA NA 645 582 0 143 203 NA NA NA NA 1809 2216 1881 425 933 NA NA NA NA 2108 2311 2007 571 1184 NA NA NA
1542578400.0 10807.0 NA 277 393 0 94 150 NA NA NA NA 681 586 0 154 220 NA NA NA NA 1842 2343 1965 458 1060 NA NA NA NA 2352 2356 2196 708 1970 NA NA NA
1542578400.0 10808.0 NA 264 395 0 94 158 NA NA NA NA 668 610 0 155 229 NA NA NA NA 1831 2396 1974 475 975 NA NA NA NA 2098 3256 2132 620 1027 NA NA NA
1542578400.0 10809.0 NA 266 393 0 99 154 NA NA NA NA 645 598 0 163 231 NA NA NA NA 1952 2400 1898 484 989 NA NA NA NA 6333 2335 2331 589 1053 NA NA NA
1542578400.0 10823.0 NA 259 382 0 90 126 NA NA NA NA 670 571 0 146 197 NA NA NA NA 2084 2287 1932 440 1008 NA NA NA NA 6419 2345 2172 727 1529 NA NA NA
1542578400.0 10824.0 NA 275 403 0 92 158 NA NA NA NA 664 582 0 153 231 NA NA NA NA 2223 2472 2014 489 1030 NA NA NA NA 6381 2370 2133 774 1129 NA NA NA
1542578400.0 10824.1 NA 291 207 0 NA NA NA NA NA NA 673 354 0 NA NA NA NA NA NA 1923 881 358 NA NA NA NA NA NA 2837 1022 467 NA NA NA NA NA
1542578400.0 10824.5 NA 306 158 0 NA NA NA NA NA NA 662 243 0 NA NA NA NA NA NA 1957 590 152 NA NA NA NA NA NA 1675 828 278 NA NA NA NA NA
