Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543100400.0 109.0 57 80 195 NA 101 148 254 NA 4335 381 592 NA 4492 426 719 NA
1543100400.0 1319.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1543100400.0 1329.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1543100400.0 1330.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1543100400.0 1338.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1543100400.0 134.707 NA 46 235 0 NA 85 304 0 NA 159 4926 417 NA 228 5699 445
1543100400.0 134.908 NA 91 250 0 NA 148 317 0 NA 533 4831 424 NA 565 5376 448
1543100400.0 134.91 NA 44 231 0 NA 85 291 0 NA 170 4171 428 NA 200 4935 469
1543100400.0 250207.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1543100400.0 3.0 57 72 139 NA 102 146 188 NA 5543 297 813 NA 5679 554 881 NA
1543100400.0 302.0 85 222 286 0 142 283 360 0 1834 1082 1801 202 2383 1246 2137 231
1543100400.0 500206.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
