Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1543269600.0 1004.0 NA 223 100 0 0 0 0 NA 344 159 0 0 0 0 NA 1168 554 122 201 455 436 NA 1808 1439 386 683 668 1057
1543269600.0 101.0 100 NA NA NA NA NA NA 161 NA NA NA NA NA NA 888 NA NA NA NA NA NA 2149 NA NA NA NA NA NA
1543269600.0 1010.0 NA 29 45 0 NA NA NA NA 82 95 0 NA NA NA NA 181 253 243 NA NA NA NA 1511 394 950 NA NA NA
1543269600.0 102.0 95 NA NA NA NA NA NA 161 NA NA NA NA NA NA 767 NA NA NA NA NA NA 1422 NA NA NA NA NA NA
1543269600.0 1020.0 NA 77 24 0 80 NA NA NA 136 67 0 143 NA NA NA 312 156 129 354 NA NA NA 447 1199 774 692 NA NA
1543269600.0 103.0 74 91 282 NA NA NA NA 151 584 398 NA NA NA NA 1213 451 1453 NA NA NA NA 1169 1166 2424 NA NA NA NA
1543269600.0 1030.0 NA 188 52 0 0 NA NA NA 373 93 0 0 NA NA NA 11105 329 84 109 NA NA NA 4223 387 148 267 NA NA
1543269600.0 1040.1 NA 77 33 0 NA NA NA NA 128 70 0 NA NA NA NA 417 159 180 NA NA NA NA 860 456 414 NA NA NA
1543269600.0 106.0 45 0 0 NA NA NA NA 102 0 0 NA NA NA NA 489 306 1233 NA NA NA NA 1935 742 2154 NA NA NA NA
1543269600.0 114.0 87 104 277 NA NA NA NA 204 539 444 NA NA NA NA 2471 670 1572 NA NA NA NA 1267 748 2601 NA NA NA NA
1543269600.0 116.0 111 110 286 NA NA NA NA 220 540 416 NA NA NA NA 2595 551 1717 NA NA NA NA 1560 600 2890 NA NA NA NA
1543269600.0 120.0 66 105 272 NA NA NA NA 132 583 411 NA NA NA NA 841 495 1432 NA NA NA NA 1516 568 2267 NA NA NA NA
1543269600.0 122.0 48 0 0 NA NA NA NA 104 0 0 NA NA NA NA 716 375 1247 NA NA NA NA 1289 369 2475 NA NA NA NA
1543269600.0 1325.5 NA 160 0 NA NA NA NA NA 277 0 NA NA NA NA NA 5811 190 NA NA NA NA NA 7958 360 NA NA NA NA
1543269600.0 1325.51 NA 151 0 NA NA NA NA NA 267 0 NA NA NA NA NA 2316 210 NA NA NA NA NA 6357 624 NA NA NA NA
1543269600.0 1325.6 NA 172 NA NA NA NA NA NA 257 NA NA NA NA NA NA 2900 NA NA NA NA NA NA 3111 NA NA NA NA NA
1543269600.0 1325.7 NA 163 0 NA NA NA NA NA 270 0 NA NA NA NA NA 2680 139 NA NA NA NA NA 5129 228 NA NA NA NA
1543269600.0 1325.8 NA 165 0 NA NA NA NA NA 251 0 NA NA NA NA NA 2666 137 NA NA NA NA NA 3777 225 NA NA NA NA
1543269600.0 134.813 NA 174 70 0 NA NA NA NA 267 116 0 NA NA NA NA 1010 188 293 NA NA NA NA 849 260 405 NA NA NA
1543269600.0 135.8 159 NA NA NA NA NA NA 262 NA NA NA NA NA NA 486 NA NA NA NA NA NA 517 NA NA NA NA NA NA
1543269600.0 1356.0 85 128 352 0 137 NA NA 163 547 523 0 231 NA NA 2097 590 1747 621 655 NA NA 1686 1420 3263 749 1338 NA NA
1543269600.0 136.733 NA 168 67 0 NA NA NA NA 301 126 0 NA NA NA NA 1146 445 332 NA NA NA NA 2398 675 700 NA NA NA
1543269600.0 136.735 NA 89 295 0 NA NA NA NA 168 429 0 NA NA NA NA 775 2567 807 NA NA NA NA 950 2300 2350 NA NA NA
1543269600.0 136.758 NA 98 366 0 NA NA NA NA 156 568 0 NA NA NA NA 571 13100 808 NA NA NA NA 609 5150 995 NA NA NA
1543269600.0 136.761 NA 99 395 0 NA NA NA NA 156 613 0 NA NA NA NA 640 19405 964 NA NA NA NA 937 8002 1052 NA NA NA
1543269600.0 136.7611 NA 173 0 NA NA NA NA NA 291 0 NA NA NA NA NA 5459 173 NA NA NA NA NA 6252 540 NA NA NA NA
1543269600.0 136.762 NA 96 405 0 NA NA NA NA 168 614 0 NA NA NA NA 631 21314 891 NA NA NA NA 872 10911 1220 NA NA NA
1543269600.0 136.763 NA 96 364 0 NA NA NA NA 161 570 0 NA NA NA NA 643 17094 878 NA NA NA NA 561 6414 985 NA NA NA
1543269600.0 136.764 NA 98 369 0 NA NA NA NA 156 540 0 NA NA NA NA 601 16716 833 NA NA NA NA 828 6338 1015 NA NA NA
1543269600.0 136.766 NA 96 415 0 NA NA NA NA 163 654 0 NA NA NA NA 619 16678 823 NA NA NA NA 845 6541 907 NA NA NA
1543269600.0 136.7721 NA 168 0 NA NA NA NA NA 280 0 NA NA NA NA NA 5075 158 NA NA NA NA NA 6059 541 NA NA NA NA
1543269600.0 136.7722 NA 163 0 NA NA NA NA NA 263 0 NA NA NA NA NA 1413 128 NA NA NA NA NA 2297 243 NA NA NA NA
1543269600.0 136.7801 NA 114 0 NA NA NA NA NA 181 0 NA NA NA NA NA 554 369 NA NA NA NA NA 874 785 NA NA NA NA
1543269600.0 136.7802 NA 77 0 NA NA NA NA NA 137 0 NA NA NA NA NA 323 225 NA NA NA NA NA 439 613 NA NA NA NA
1543269600.0 136.7803 NA 109 0 NA NA NA NA NA 192 0 NA NA NA NA NA 858 295 NA NA NA NA NA 1374 463 NA NA NA NA
1543269600.0 136.7952 NA 154 0 NA NA NA NA NA 252 0 NA NA NA NA NA 1684 212 NA NA NA NA NA 1711 576 NA NA NA NA
1543269600.0 136.824 NA 116 440 0 NA NA NA NA 182 774 0 NA NA NA NA 874 33549 1688 NA NA NA NA 1165 13550 2192 NA NA NA
1543269600.0 136.83 NA 118 416 0 NA NA NA NA 184 665 0 NA NA NA NA 1030 28782 1687 NA NA NA NA 1284 11322 2330 NA NA NA
1543269600.0 136.831 NA 117 434 0 NA NA NA NA 184 691 0 NA NA NA NA 872 31122 1763 NA NA NA NA 1205 12432 2359 NA NA NA
1543269600.0 136.8311 NA 175 0 NA NA NA NA NA 292 0 NA NA NA NA NA 2907 207 NA NA NA NA NA 2798 629 NA NA NA NA
1543269600.0 136.843 NA 120 434 0 NA NA NA NA 186 730 0 NA NA NA NA 641 23944 1127 NA NA NA NA 545 8505 1555 NA NA NA
1543269600.0 136.8521 NA 161 0 NA NA NA NA NA 243 0 NA NA NA NA NA 1264 125 NA NA NA NA NA 1281 347 NA NA NA NA
1543269600.0 136.871 NA 259 480 0 NA NA NA NA 428 804 0 NA NA NA NA 4752 24397 1436 NA NA NA NA 2929 9931 1683 NA NA NA
1543269600.0 2017.2 311 0 140 NA NA NA NA 724 0 222 NA NA NA NA 1274 320 597 NA NA NA NA 1193 1394 716 NA NA NA NA
1543269600.0 2017.8 196 NA NA NA NA NA NA 318 NA NA NA NA NA NA 610 NA NA NA NA NA NA 1177 NA NA NA NA NA NA
1543269600.0 25407.0 410 0 139 NA NA NA NA 743 0 228 NA NA NA NA 3692 247 608 NA NA NA NA 2856 324 889 NA NA NA NA
1543269600.0 3.0 90 110 194 NA NA NA NA 185 583 335 NA NA NA NA 5888 498 1461 NA NA NA NA 3130 840 2285 NA NA NA NA
1543269600.0 4.28 NA 72 304 0 NA NA NA NA 129 424 0 NA NA NA NA 331 2661 2601 NA NA NA NA 667 2525 2964 NA NA NA
1543269600.0 500200.1 83 193 239 NA NA NA NA 163 604 370 NA NA NA NA 2493 1095 1773 NA NA NA NA 1672 1069 2052 NA NA NA NA
1543269600.0 503.0 42 0 NA NA NA NA NA 87 0 NA NA NA NA NA 213 128 NA NA NA NA NA 433 620 NA NA NA NA NA
1543269600.0 504.0 37 0 NA NA NA NA NA 85 0 NA NA NA NA NA 166 119 NA NA NA NA NA 298 432 NA NA NA NA NA
1543269600.0 505.0 39 0 NA NA NA NA NA 86 0 NA NA NA NA NA 165 124 NA NA NA NA NA 271 296 NA NA NA NA NA
1543269600.0 506.0 38 0 NA NA NA NA NA 83 0 NA NA NA NA NA 184 120 NA NA NA NA NA 235 418 NA NA NA NA NA
1543269600.0 507.0 39 0 NA NA NA NA NA 80 0 NA NA NA NA NA 182 118 NA NA NA NA NA 401 471 NA NA NA NA NA
1543269600.0 508.0 33 0 NA NA NA NA NA 85 0 NA NA NA NA NA 156 175 NA NA NA NA NA 342 560 NA NA NA NA NA
1543269600.0 509.0 41 0 NA NA NA NA NA 84 0 NA NA NA NA NA 158 178 NA NA NA NA NA 1347 551 NA NA NA NA NA
1543269600.0 510.0 35 0 NA NA NA NA NA 85 0 NA NA NA NA NA 232 123 NA NA NA NA NA 403 346 NA NA NA NA NA
1543269600.0 511.0 46 0 NA NA NA NA NA 89 0 NA NA NA NA NA 9153 177 NA NA NA NA NA 11580 557 NA NA NA NA NA
1543269600.0 512.0 19 38 0 NA NA NA NA 59 91 0 NA NA NA NA 1811 155 112 NA NA NA NA 6793 831 297 NA NA NA NA
1543269600.0 513.0 18 42 0 NA NA NA NA 59 92 0 NA NA NA NA 579 156 120 NA NA NA NA 1268 341 567 NA NA NA NA
1543269600.0 514.0 19 37 0 NA NA NA NA 59 92 0 NA NA NA NA 358 169 114 NA NA NA NA 728 330 348 NA NA NA NA
1543269600.0 515.0 18 35 0 NA NA NA NA 59 91 0 NA NA NA NA 1840 154 123 NA NA NA NA 15809 299 568 NA NA NA NA
1543269600.0 516.0 18 41 0 NA NA NA NA 59 92 0 NA NA NA NA 590 150 122 NA NA NA NA 2095 345 295 NA NA NA NA
1543269600.0 517.0 17 44 0 NA NA NA NA 59 93 0 NA NA NA NA 942 144 129 NA NA NA NA 1791 204 769 NA NA NA NA
1543269600.0 518.0 19 43 0 NA NA NA NA 59 91 0 NA NA NA NA 1780 134 129 NA NA NA NA 7096 202 774 NA NA NA NA
1543269600.0 519.0 18 35 0 NA NA NA NA 59 92 0 NA NA NA NA 585 169 121 NA NA NA NA 1206 639 567 NA NA NA NA
1543269600.0 520.0 17 40 0 NA NA NA NA 59 93 0 NA NA NA NA 899 158 130 NA NA NA NA 1757 577 599 NA NA NA NA
1543269600.0 521.0 16 42 0 NA NA NA NA 59 92 0 NA NA NA NA 585 159 172 NA NA NA NA 1893 345 527 NA NA NA NA
1543269600.0 522.0 18 39 0 NA NA NA NA 59 92 0 NA NA NA NA 1874 156 126 NA NA NA NA 21107 585 306 NA NA NA NA
1543269600.0 524.0 18 42 0 NA NA NA NA 59 92 0 NA NA NA NA 901 161 126 NA NA NA NA 1226 254 585 NA NA NA NA
1543269600.0 525.0 17 45 0 NA NA NA NA 59 93 0 NA NA NA NA 589 152 124 NA NA NA NA 2267 322 311 NA NA NA NA
1543269600.0 526.0 18 38 0 NA NA NA NA 59 92 0 NA NA NA NA 1878 165 113 NA NA NA NA 21106 622 299 NA NA NA NA
1543269600.0 527.0 19 35 0 NA NA NA NA 59 93 0 NA NA NA NA 902 174 120 NA NA NA NA 1524 616 471 NA NA NA NA
1543269600.0 528.0 17 38 0 NA NA NA NA 59 92 0 NA NA NA NA 614 157 111 NA NA NA NA 2119 613 279 NA NA NA NA
1543269600.0 529.0 19 37 0 NA NA NA NA 59 93 0 NA NA NA NA 2577 245 179 NA NA NA NA 4492 703 375 NA NA NA NA
1543269600.0 530.0 19 37 0 NA NA NA NA 62 93 0 NA NA NA NA 1124 266 182 NA NA NA NA 1246 735 529 NA NA NA NA
1543269600.0 531.0 48 0 NA NA NA NA NA 190 0 NA NA NA NA NA 234 159 NA NA NA NA NA 1054 312 NA NA NA NA NA
1543269600.0 534.0 43 0 NA NA NA NA NA 99 0 NA NA NA NA NA 286 147 NA NA NA NA NA 962 231 NA NA NA NA NA
1543269600.0 535.0 41 0 NA NA NA NA NA 91 0 NA NA NA NA NA 1102 183 NA NA NA NA NA 3728 605 NA NA NA NA NA
1543269600.0 541.0 51 0 NA NA NA NA NA 96 0 NA NA NA NA NA 273 188 NA NA NA NA NA 667 589 NA NA NA NA NA
1543269600.0 545.0 50 0 NA NA NA NA NA 96 0 NA NA NA NA NA 353 170 NA NA NA NA NA 1291 316 NA NA NA NA NA
1543269600.0 552.0 18 39 0 NA NA NA NA 59 92 0 NA NA NA NA 1188 276 190 NA NA NA NA 1516 1532 605 NA NA NA NA
