Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543100400.0 11224.0 NA 188 333 0 NA 278 396 0 NA 3416 5000 4933 NA 4455 6003 5510
1543100400.0 11224.6 NA 184 334 0 NA 278 396 0 NA 3472 4955 4976 NA 4537 5819 5519
1543100400.0 20261.97 226 NA NA NA 305 NA NA NA 9168 NA NA NA 9985 NA NA NA
1543100400.0 250199.0 143 NA NA NA 226 NA NA NA 6448 NA NA NA 7002 NA NA NA
1543100400.0 250199.17 162 NA NA NA 243 NA NA NA 6936 NA NA NA 7503 NA NA NA
1543100400.0 250199.18 197 NA NA NA 284 NA NA NA 10317 NA NA NA 16493 NA NA NA
1543100400.0 250200.1 65 155 199 NA 114 222 259 NA 5586 3541 4278 NA 6498 3881 4795 NA
1543100400.0 250200.117 64 162 199 NA 107 244 261 NA 5777 3984 4174 NA 6827 4377 4832 NA
1543100400.0 25211.0 0 NA NA NA 0 NA NA NA 1036 NA NA NA 1244 NA NA NA
1543100400.0 25211.17 0 NA NA NA 0 NA NA NA 1072 NA NA NA 1296 NA NA NA
1543100400.0 25212.0 0 NA NA NA 0 NA NA NA 1036 NA NA NA 1229 NA NA NA
1543100400.0 25212.17 0 NA NA NA 0 NA NA NA 1076 NA NA NA 1505 NA NA NA
1543100400.0 25213.0 0 NA NA NA 0 NA NA NA 1046 NA NA NA 1312 NA NA NA
1543100400.0 25213.17 0 NA NA NA 0 NA NA NA 1069 NA NA NA 1345 NA NA NA
