Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1543226400.0 11224.0 NA 187 326 0 NA 278 396 0 NA 3424 5128 4918 NA 4085 6244 5257
1543226400.0 11224.6 NA 184 327 0 NA 278 396 0 NA 3386 5064 4983 NA 4003 6186 5243
1543226400.0 125.0 66 78 245 NA 119 118 304 NA 4941 818 3386 NA 5373 1119 4302 NA
1543226400.0 126.0 56 73 245 NA 107 113 303 NA 2174 731 3217 NA 2870 980 4077 NA
1543226400.0 127.0 57 87 244 NA 101 113 302 NA 2272 731 3203 NA 2663 935 3853 NA
1543226400.0 128.0 57 78 243 NA 99 116 302 NA 1260 727 3143 NA 1895 966 3754 NA
1543226400.0 129.0 57 73 243 NA 100 113 302 NA 1294 712 3170 NA 2065 927 3882 NA
1543226400.0 130.0 56 90 244 NA 107 113 302 NA 1436 716 3247 NA 2164 936 3928 NA
1543226400.0 131.0 56 75 245 NA 108 116 303 NA 2331 723 3268 NA 2577 952 4183 NA
1543226400.0 132.0 66 77 245 NA 116 118 305 NA 5606 833 3497 NA 6156 1052 4112 NA
1543226400.0 133.0 67 77 247 NA 122 118 306 NA 8497 993 3852 NA 9771 1463 5031 NA
