Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1542621600.0 13.0 NA 106 268 0 NA NA NA NA 164 313 0 NA NA NA NA 792 5242 1337 NA NA NA NA 1076 5852 1455 NA NA NA
1542621600.0 1301.0 71 104 200 NA NA NA NA 113 127 239 NA NA NA NA 2625 743 1975 NA NA NA NA 2847 853 2993 NA NA NA NA
1542621600.0 1301.17 66 110 210 NA NA NA NA 106 144 250 NA NA NA NA 2818 813 2110 NA NA NA NA 3427 6986 3101 NA NA NA NA
1542621600.0 1302.0 71 106 204 NA NA NA NA 116 130 242 NA NA NA NA 11023 852 2580 NA NA NA NA 12214 944 3074 NA NA NA NA
1542621600.0 1302.17 66 111 210 NA NA NA NA 109 146 253 NA NA NA NA 11741 1008 2637 NA NA NA NA 21648 7023 4216 NA NA NA NA
1542621600.0 1303.0 69 94 213 NA NA NA NA 118 129 244 NA NA NA NA 17715 773 3185 NA NA NA NA 29094 946 3496 NA NA NA NA
1542621600.0 1303.17 69 110 211 NA NA NA NA 112 146 255 NA NA NA NA 18368 846 2923 NA NA NA NA 19676 9069 30080 NA NA NA NA
1542621600.0 1306.0 NA 108 292 0 NA NA NA NA 170 343 0 NA NA NA NA 879 3820 1441 NA NA NA NA 1054 4308 1542 NA NA NA
1542621600.0 1309.0 NA 96 304 0 NA NA NA NA 172 353 0 NA NA NA NA 1123 4482 1381 NA NA NA NA 6705 5612 1440 NA NA NA
1542621600.0 1310.0 NA 97 303 0 NA NA NA NA 171 351 0 NA NA NA NA 1045 4101 1383 NA NA NA NA 1268 4612 1443 NA NA NA
1542621600.0 1312.0 NA 95 315 0 NA NA NA NA 172 351 0 NA NA NA NA 1104 4464 1393 NA NA NA NA 5509 5177 1444 NA NA NA
1542621600.0 1313.0 NA 99 299 0 NA NA NA NA 173 353 0 NA NA NA NA 885 5561 1398 NA NA NA NA 7873 6653 1505 NA NA NA
1542621600.0 1314.0 NA 97 303 0 NA NA NA NA 171 350 0 NA NA NA NA 1034 4169 1401 NA NA NA NA 1220 4660 1464 NA NA NA
1542621600.0 1315.0 NA 93 297 0 NA NA NA NA 167 345 0 NA NA NA NA 892 3826 1460 NA NA NA NA 1935 4285 1579 NA NA NA
1542621600.0 1316.0 NA 94 299 0 NA NA NA NA 168 347 0 NA NA NA NA 903 3929 1441 NA NA NA NA 1153 4507 1539 NA NA NA
1542621600.0 1317.0 NA 92 293 0 NA NA NA NA 167 345 0 NA NA NA NA 876 3825 1378 NA NA NA NA 1109 4613 1475 NA NA NA
1542621600.0 1318.0 NA 108 298 0 NA NA NA NA 167 345 0 NA NA NA NA 885 3731 1441 NA NA NA NA 1379 4204 1519 NA NA NA
1542621600.0 1319.0 NA 93 295 0 NA NA NA NA 167 345 0 NA NA NA NA 882 3850 1404 NA NA NA NA 1110 4387 1487 NA NA NA
1542621600.0 1320.0 NA 96 297 0 NA NA NA NA 170 345 0 NA NA NA NA 962 3994 1367 NA NA NA NA 1160 4564 1533 NA NA NA
1542621600.0 1321.0 NA 93 294 0 NA NA NA NA 170 346 0 NA NA NA NA 943 3929 1355 NA NA NA NA 1185 4434 1422 NA NA NA
1542621600.0 1322.0 NA 94 297 0 NA NA NA NA 169 347 0 NA NA NA NA 922 3946 1435 NA NA NA NA 1118 4617 1513 NA NA NA
1542621600.0 1323.0 NA 93 289 0 NA NA NA NA 167 341 0 NA NA NA NA 886 3334 1434 NA NA NA NA 1102 3805 1544 NA NA NA
1542621600.0 1324.0 NA 97 304 0 NA NA NA NA 173 352 0 NA NA NA NA 1103 4338 1380 NA NA NA NA 1340 4800 1689 NA NA NA
1542621600.0 1325.1 NA 112 160 0 NA NA NA NA 173 191 0 NA NA NA NA 1099 1812 675 NA NA NA NA 1217 2308 729 NA NA NA
1542621600.0 1325.2 NA 99 303 0 NA NA NA NA 173 352 0 NA NA NA NA 1181 4448 1391 NA NA NA NA 6566 5702 1460 NA NA NA
1542621600.0 1325.3 NA 100 158 0 NA NA NA NA 173 186 0 NA NA NA NA 1082 1772 629 NA NA NA NA 1193 2143 682 NA NA NA
1542621600.0 1325.4 NA 99 304 0 NA NA NA NA 173 354 0 NA NA NA NA 1161 4531 1393 NA NA NA NA 6011 5091 1466 NA NA NA
1542621600.0 1325.5 NA 159 0 NA NA NA NA NA 239 0 NA NA NA NA NA 5745 271 NA NA NA NA NA 6208 5706 NA NA NA NA
1542621600.0 1325.51 NA 154 0 NA NA NA NA NA 234 0 NA NA NA NA NA 3131 281 NA NA NA NA NA 13036 4402 NA NA NA NA
1542621600.0 1325.6 NA 183 NA NA NA NA NA NA 254 NA NA NA NA NA NA 5234 NA NA NA NA NA NA 7552 NA NA NA NA NA
1542621600.0 136.778 NA 71 299 0 NA NA NA NA 145 336 0 NA NA NA NA 1406 23072 2066 NA NA NA NA 2742 26966 11007 NA NA NA
1542621600.0 136.779 NA 70 291 0 NA NA NA NA 145 343 0 NA NA NA NA 2158 34869 2021 NA NA NA NA 3509 36908 9134 NA NA NA
1542621600.0 136.78 NA 94 321 0 NA NA NA NA 151 371 0 NA NA NA NA 1351 48573 2891 NA NA NA NA 1627 53135 3120 NA NA NA
1542621600.0 136.7801 NA 116 0 NA NA NA NA NA 186 0 NA NA NA NA NA 827 508 NA NA NA NA NA 1526 9706 NA NA NA NA
1542621600.0 136.7802 NA 89 0 NA NA NA NA NA 152 0 NA NA NA NA NA 581 304 NA NA NA NA NA 1098 9881 NA NA NA NA
1542621600.0 136.7803 NA 112 0 NA NA NA NA NA 185 0 NA NA NA NA NA 993 429 NA NA NA NA NA 2901 9340 NA NA NA NA
1542621600.0 136.781 NA 87 348 0 NA NA NA NA 145 400 0 NA NA NA NA 1196 53669 2898 NA NA NA NA 1471 57785 3376 NA NA NA
1542621600.0 136.782 NA 92 319 0 NA NA NA NA 148 373 0 NA NA NA NA 2076 57319 2924 NA NA NA NA 2471 60999 3120 NA NA NA
1542621600.0 136.783 NA 93 355 0 NA NA NA NA 149 404 0 NA NA NA NA 1256 65708 2874 NA NA NA NA 2031 70613 3066 NA NA NA
1542621600.0 136.784 NA 85 380 0 NA NA NA NA 151 430 0 NA NA NA NA 1207 54726 2880 NA NA NA NA 1454 58804 3050 NA NA NA
1542621600.0 136.785 NA 85 330 0 NA NA NA NA 148 382 0 NA NA NA NA 1766 58589 2935 NA NA NA NA 2038 62808 3166 NA NA NA
